Speaker,Utterance
dialogue_id:, 36_00000
USER,"""I need to find a dentist."""
SYSTEM,"""What date would you like to visit it on?"""
USER,"""Make it for the 5th."""
SYSTEM,"""What time is good and what dentist would you like to visit."""
USER,"""The dentist's name is C K Dental lab. I would like to make for 11 o""clock in the morning."""
SYSTEM,"""Ok you want an appointment with C K Dental Lab at 11 am next Tuesday. Is that correct?"""
USER,"""Yes that is."""
SYSTEM,"""APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-05, appointment_time: 11:00, dentist_name: C K Dental Lab })"""
Tool,"""Search Results\n[{ address: 621 East Campbell Avenue # 2A, appointment_date: 2019-03-05, appointment_time: 11:30, dentist_name: C K Dental Lab, offers_cosmetic_services: False, phone_number: 408-370-1424 }]\nEnd Search Results"""
SYSTEM,"""Sorry they are all booked up at 11 am. How about C K Dental Lab on next Tuesday at 11:30 am?"""
USER,"""Yes, that will be fine."""
SYSTEM,"""APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-05, appointment_time: 11:30, dentist_name: C K Dental Lab })"""
Tool,"""Search Results\n[{ address: 621 East Campbell Avenue # 2A, appointment_date: 2019-03-05, appointment_time: 11:30, dentist_name: C K Dental Lab, offers_cosmetic_services: False, phone_number: 408-370-1424 }]\nEnd Search Results"""
SYSTEM,"""Your dentist appointment was booked successfully."""
USER,"""What is the address and what city are they located in?"""
SYSTEM,"""They are located at 621 East Campbell Avenue # 2A in Campbell ."""
USER,"""Thanks for your help."""
SYSTEM,"""Will there be anything else."""
USER,"""No that will be all."""
SYSTEM,"""Have a great day. Thank You."""
