Speaker,Utterance
dialogue_id:, 24_00000
USER,"""Please help me find a intermediate car in Seattle."""
SYSTEM,"""Tell me please at what date,time and when do you want it from"""
USER,"""I want on next Tuesday till 11th of March and i will pick it up at 2 o""clock in the afternoon."""
SYSTEM,"""APICall(method='GetCarsAvailable', parameters={ car_type: Standard, dropoff_date: 2019-03-11, pickup_city: Seattle, pickup_date: 2019-03-05, pickup_time: 14:00 })"""
Tool,"""Search Results\n[{ car_name: Hyundai Elantra, car_type: Standard, dropoff_date: 2019-03-11, pickup_city: Seattle, pickup_date: 2019-03-05, pickup_location: King Street Station, pickup_time: 14:00, total_price: 168 }, { car_name: Toyota Prius, car_type: Standard, dropoff_date: 2019-03-11, pickup_city: Seattle, pickup_date: 2019-03-05, pickup_location: King Street Station, pickup_time: 14:00, total_price: 168 }]\nEnd Search Results"""
SYSTEM,"""I have for you 2 nice Standard car available for pick up next Tuesday at King Street Station.Would you like a Hyundai Elantra?"""
USER,"""Is there another car available?"""
SYSTEM,"""A Standard Toyota Prius available for pick up next Tuesday at King Street Station"""
USER,"""Sounds Ok."""
SYSTEM,"""With anything else I can help you?"""
USER,"""Yes please reserve the car."""
SYSTEM,"""You want a Standard car available on next Tuesday at 2 pm and the pick-up will be from King Street Station.The drop-off date will be made in March 11th is that correct?"""
USER,"""That sounds perfect."""
SYSTEM,"""APICall(method='ReserveCar', parameters={ car_type: Standard, dropoff_date: 2019-03-11, pickup_date: 2019-03-05, pickup_location: King Street Station, pickup_time: 14:00 })"""
Tool,"""Search Results\n[{ car_name: Toyota Prius, car_type: Standard, dropoff_date: 2019-03-11, pickup_date: 2019-03-05, pickup_location: King Street Station, pickup_time: 14:00, total_price: 168 }]\nEnd Search Results"""
SYSTEM,"""The car was reserved"""
USER,"""Tell me the total price"""
SYSTEM,"""In total costs $168"""
USER,"""Thanks for your help ."""
SYSTEM,"""Have a nice day!"""
