Speaker,Utterance
dialogue_id:, 15_00000
USER,"""I'd like to get some tickets for an event."""
SYSTEM,"""Sure thing. Where should I begin the search?"""
USER,"""I'm looking for events next Wednesday in the Stanford area. I'd need 3 tickets."""
SYSTEM,"""Are there any events that you had in mind?"""
USER,"""Yes, I'm intersted in Nycfc Vs Dynamo. It's actually near NY."""
SYSTEM,"""Okay, can you tell me if this right? You are interested in 3 tickets to NYCFC Vs Dynamo in New York for next Wednesday?"""
USER,"""That is correct."""
SYSTEM,"""APICall(method='BuyEventTickets', parameters={ city_of_event: New York, date: 2019-03-06, event_name: Nycfc Vs Dynamo, number_of_seats: 3 })"""
Tool,"""Search Results\n[]\nEnd Search Results"""
SYSTEM,"""It looks like I am unable to book those tickets for you. Are there any other events you might be interested in?"""
USER,"""That's too bad. Can you check to see if I can get tickets to the Giants Vs Dodgers?"""
SYSTEM,"""Okay, you'd like 3 tickets to Giants Vs Dodgers in New York for next Wednesday. Can you confirm this please?"""
USER,"""That is correct."""
SYSTEM,"""APICall(method='BuyEventTickets', parameters={ city_of_event: New York, date: 2019-03-06, event_name: Giants Vs Dodgers, number_of_seats: 3 })"""
Tool,"""Search Results\n[]\nEnd Search Results"""
SYSTEM,"""I'm sorry but it appears that the event is sold out. I am unable to reserve the tickets. Is there anything else I can check for you?"""
USER,"""That's disappointing. Thank you for your help anyway."""
SYSTEM,"""No problem. I'm sorry I couldn't be of more service. Hope you have a great day."""
