Speaker,Utterance
dialogue_id:, 25_00022
USER,"""I need some help searching for flights, it should be round trip."""
SYSTEM,"""Where will you be going and on what date?"""
USER,"""I'll be going to Los Angeles next Tuesday."""
SYSTEM,"""And when will you be returning?"""
USER,"""I'll be returning on the 12th of March."""
SYSTEM,"""And what city will you be leaving from?"""
USER,"""I'll be leaving from Atlanta, GA."""
SYSTEM,"""APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-05, destination: Los Angeles, origin: Atlanta, return_date: 2019-03-12 })"""
Tool,"""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-05, destination: Los Angeles, destination_airport: LAX International Airport, fare: 226, inbound_arrival_time: 17:04, inbound_departure_time: 09:05, is_redeye: False, number_stops: 1, origin: Atlanta, origin_airport: Hartsfield-Jackson International Airport, outbound_arrival_time: 17:15, outbound_departure_time: 11:40, passengers: 1, return_date: 2019-03-12, seating_class: Economy }, { airlines: Delta Airlines, departure_date: 2019-03-05, destination: Los Angeles, destination_airport: LAX International Airport, fare: 183, inbound_arrival_time: 04:39, inbound_departure_time: 20:40, is_redeye: True, number_stops: 0, origin: Atlanta, origin_airport: Hartsfield-Jackson International Airport, outbound_arrival_time: 19:39, outbound_departure_time: 17:40, passengers: 1, return_date: 2019-03-12, seating_class: Economy }]\nEnd Search Results"""
SYSTEM,"""I found a flight from American Airlines. It leaves at 11:40 am with the returning flight taking off at 9:05 am. It costs $226."""
USER,"""What time will it arrive at the destination? Also, is the for two passengers?"""
SYSTEM,"""It will arrive at 5:15 pm at the destination. And it's just for 1 passenger."""
USER,"""Do you have anything else? I'm also flying to Chicago."""
SYSTEM,"""APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-05, destination: Chicago, origin: Atlanta, return_date: 2019-03-12 })"""
Tool,"""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-05, destination: Chicago, destination_airport: O'Hare International Airport, fare: 181, inbound_arrival_time: 01:41, inbound_departure_time: 20:50, is_redeye: True, number_stops: 1, origin: Atlanta, origin_airport: Hartsfield-Jackson International Airport, outbound_arrival_time: 22:16, outbound_departure_time: 21:15, passengers: 1, return_date: 2019-03-12, seating_class: Economy }, { airlines: Delta Airlines, departure_date: 2019-03-05, destination: Chicago, destination_airport: O'Hare International Airport, fare: 125, inbound_arrival_time: 11:31, inbound_departure_time: 08:30, is_redeye: False, number_stops: 0, origin: Atlanta, origin_airport: Hartsfield-Jackson International Airport, outbound_arrival_time: 08:51, outbound_departure_time: 07:50, passengers: 1, return_date: 2019-03-12, seating_class: Economy }]\nEnd Search Results"""
SYSTEM,"""There are 2 flights. There's a flight that leaves at 7:50 am with the return leaving at 8:30 am. It's with Delta Airlines and costs $125."""
USER,"""Do you have anything else. I want to return on the 14th of this month and I need 3 tickets."""
SYSTEM,"""APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-05, destination: Chicago, origin: Atlanta, passengers: 3, return_date: 2019-03-14 })"""
Tool,"""Search Results\n[{ airlines: Delta Airlines, departure_date: 2019-03-05, destination: Chicago, destination_airport: O'Hare International Airport, fare: 120, inbound_arrival_time: 11:31, inbound_departure_time: 08:30, is_redeye: False, number_stops: 0, origin: Atlanta, origin_airport: Hartsfield-Jackson International Airport, outbound_arrival_time: 08:51, outbound_departure_time: 07:50, passengers: 3, return_date: 2019-03-14, seating_class: Economy }, { airlines: United Airlines, departure_date: 2019-03-05, destination: Chicago, destination_airport: O'Hare International Airport, fare: 119, inbound_arrival_time: 00:51, inbound_departure_time: 21:50, is_redeye: True, number_stops: 0, origin: Atlanta, origin_airport: Hartsfield-Jackson International Airport, outbound_arrival_time: 07:51, outbound_departure_time: 06:50, passengers: 3, return_date: 2019-03-14, seating_class: Economy }]\nEnd Search Results"""
SYSTEM,"""There's a flight that leaves at 6:50 am and the return leaves at 9:50 pm. It's with United Airlines and it costs $119."""
USER,"""Alright, can you look for some one way flights."""
SYSTEM,"""APICall(method='SearchOnewayFlight', parameters={ airlines: United Airlines, departure_date: 2019-03-05, destination: Chicago, origin: Atlanta, passengers: 3 })"""
Tool,"""Search Results\n[{ airlines: United Airlines, departure_date: 2019-03-05, destination: Chicago, destination_airport: O'Hare International Airport, fare: 105, is_redeye: False, number_stops: 0, origin: Atlanta, origin_airport: Hartsfield-Jackson International Airport, outbound_arrival_time: 07:51, outbound_departure_time: 06:50, passengers: 3, seating_class: Economy }]\nEnd Search Results"""
SYSTEM,"""There's a flight that leaves at 6:50 am and has 0 stops. It's with United Airlines and costs $105."""
USER,"""Where will it be landing? And is it a redeye flight?"""
SYSTEM,"""It will land at O'Hare International Airport. And it is not a redeye flight."""
USER,"""Alright."""
SYSTEM,"""Do you need any more help?"""
USER,"""No, thanks for helping me."""
SYSTEM,"""Okay, take care."""
