"Speaker","Utterance"
"dialogue_id:"," 59_00121"
"USER","""I need to look for round trips flights that depart from NYC."""
"SYSTEM","""Where are you going? And what dates will you be leaving and returning on?"""
"USER","""I'll be going to Atlanta. I want to leave on the 2nd and return on March 8th."""
"SYSTEM","APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-02, destination_city: Atlanta, origin_city: New York, return_date: 2019-03-08 })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-02, destination_airport: Hartsfield-Jackson International Airport, destination_city: Atlanta, inbound_arrival_time: 17:47, inbound_departure_time: 15:25, number_stops: 0, origin_airport: JFK International Airport, origin_city: New York, outbound_arrival_time: 14:07, outbound_departure_time: 11:45, passengers: 1, price: 142, refundable: False, return_date: 2019-03-08, seating_class: Economy }, { airlines: Delta Airlines, departure_date: 2019-03-02, destination_airport: Hartsfield-Jackson International Airport, destination_city: Atlanta, inbound_arrival_time: 18:02, inbound_departure_time: 15:40, number_stops: 0, origin_airport: JFK International Airport, origin_city: New York, outbound_arrival_time: 09:42, outbound_departure_time: 07:20, passengers: 1, price: 134, refundable: False, return_date: 2019-03-08, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""There's an American Airlines flight with an outbound flight leaving at 11:45 am and return flight leaving at 3:25 pm. It is $142 for a ticket."""
"USER","""Yeah, that'll work. I want to buy a ticket."""
"SYSTEM","""You want 1 Economy ticket for New York to Atlanta round trip on American Airlines. Departure is March 2nd at 11:45 am and return is March 8th at 3:25 pm. Shall I proceed with the purchase?"""
"USER","""No, I actually need 4 tickets, there are four passengers."""
"SYSTEM","""You want 4 Economy tickets?"""
"USER","""Yeah, that's right. What time does the departure flight arrive?"""
"SYSTEM","APICall(method='ReserveRoundtripFlights', parameters={ airlines: American Airlines, departure_date: 2019-03-02, destination_city: Atlanta, inbound_departure_time: 15:25, origin_city: New York, outbound_departure_time: 11:45, passengers: 4, return_date: 2019-03-08, seating_class: Economy })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-02, destination_airport: Hartsfield-Jackson International Airport, destination_city: Atlanta, inbound_arrival_time: 17:47, inbound_departure_time: 15:25, number_stops: 0, origin_airport: JFK International Airport, origin_city: New York, outbound_arrival_time: 14:07, outbound_departure_time: 11:45, passengers: 4, price: 142, refundable: False, return_date: 2019-03-08, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""I've purchased the tickets. The departure flight arrives at 2:07 pm."""
"USER","""And what time does the return flight arrive?"""
"SYSTEM","""5:47 pm is the arrival time of the return flight."""
"USER","""Thanks for the help. I also need to a rent a car there."""
"SYSTEM","""What time do you want to pick it up?"""
"USER","""I want to get it at during afternoon 3:30."""
"SYSTEM","""Will you be renting the car from March 2nd to March 8th?"""
"USER","""No, it's just a rental from March 3rd to March 4th. And I want a compact car."""
"SYSTEM","""Would you like the car to be at Hartsfield-Jackson International Airport for pick up?"""
"USER","""Yeah, that would work for me."""
"SYSTEM","""You want a Compact car at Hartsfield-Jackson International Airport for pickup on March 3rd at 3:30 pm and return on March 4th. Shall I proceed with the rental?"""
"USER","""Yes, please rent it. What type of car is it?"""
"SYSTEM","APICall(method='ReserveCar', parameters={ dropoff_date: 2019-03-04, pickup_date: 2019-03-03, pickup_location: Hartsfield-Jackson International Airport, pickup_time: 15:30, type: Compact })"
"Tool","""Search Results\n[{ car_name: GTI, dropoff_date: 2019-03-04, pickup_date: 2019-03-03, pickup_location: Hartsfield-Jackson International Airport, pickup_time: 15:30, total_price: 28, type: Compact }]\nEnd Search Results"""
"SYSTEM","""I've rented the car. It is a GTI."""
"USER","""Thanks a lot for the help."""
"SYSTEM","""Do you need me for anything else?"""
"USER","""No, thanks again."""
"SYSTEM","""Have a wonderful day."""
