"Speaker","Utterance"
"dialogue_id:"," 101_00003"
"USER","""When am I available on the 12th of this month?"""
"SYSTEM","APICall(method='GetAvailableTime', parameters={ event_date: 2019-03-12 })"
"Tool","""Search Results\n[{ available_end_time: 21:00, available_start_time: 15:15, event_date: 2019-03-12 }]\nEnd Search Results"""
"SYSTEM","""On March 12th you are available from 3:15 pm until 9 pm."""
"USER","""Sounds good. Can you find me something to do that day?"""
"SYSTEM","""Any preferences such as Music, Sports or something else? What city should I search in?"""
"USER","""Search for Music events in Chi-town."""
"SYSTEM","APICall(method='FindEvents', parameters={ city: Chicago, date: 2019-03-12, event_type: Music })"
"Tool","""Search Results\n[{ category: Country, city: Chicago, date: 2019-03-12, event_name: Billy Currington, event_type: Music, time: 18:30, venue: Gallagher Way, venue_address: 3635 North Clark Street }, { category: Rock, city: Chicago, date: 2019-03-12, event_name: The Buttertones, event_type: Music, time: 17:30, venue: Chop Shop, venue_address: 2033 West North Avenue }]\nEnd Search Results"""
"SYSTEM","""I found you 2 events. How about Billy Currington at Gallagher Way?"""
"USER","""Sounds good to me."""
"SYSTEM","""Would you like to buy tickets?"""
"USER","""Yes. Get me four tickets."""
"SYSTEM","""Confirming that you want 4 tickets to the Billy Currington event taking place in Chicago on March 12th."""
"USER","""That works for me."""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city: Chicago, date: 2019-03-12, event_name: Billy Currington, number_of_tickets: 4 })"
"Tool","""Search Results\n[{ city: Chicago, date: 2019-03-12, event_name: Billy Currington, number_of_tickets: 4, time: 18:30, venue: Gallagher Way, venue_address: 3635 North Clark Street }]\nEnd Search Results"""
"SYSTEM","""Your reservation is complete. Have fun!"""
"USER","""Thanks for your help. That will be all for now."""
"SYSTEM","""You're welcome. Have a great day."""
