"Speaker","Utterance"
"dialogue_id:"," 18_00109"
"USER","""I want to find someplace to eat. Please look for restaurants."""
"SYSTEM","""What kind of food would you like to look for?"""
"USER","""I would like to find Latin American food."""
"SYSTEM","""What city would you like to search in?"""
"USER","""Please find restaurants in San Jose."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ category: Mexican, location: San Jose })"
"Tool","""Search Results\n[{ address: 87 East San Fernando Street, category: Mexican, has_seating_outdoors: True, has_vegetarian_options: False, location: San Jose, phone_number: 408-293-4321, price_range: moderate, rating: 4.00, restaurant_name: Chacho's }, { address: 5305 Almaden Expressway, category: Mexican, has_seating_outdoors: False, has_vegetarian_options: False, location: San Jose, phone_number: 408-266-1815, price_range: moderate, rating: 3.90, restaurant_name: Chevys Fresh Mex }]\nEnd Search Results"""
"SYSTEM","""Chacho's is a restaurant in San Jose matching the criteria you requested."""
"USER","""Yes, that would be good."""
"SYSTEM","""Would you like to reserve a table there?"""
"USER","""Yes, I would like to reserve a table."""
"SYSTEM","""What time would you like the reservation for?"""
"USER","""Please make it for eleven am."""
"SYSTEM","""You would like to book a table for 2 people at Chacho's in San Jose on March 1st at 11 am, is that right?"""
"USER","""Yes, that's correct."""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ date: 2019-03-01, location: San Jose, number_of_seats: 2, restaurant_name: Chacho's, time: 11:00 })"
"Tool","""Search Results\n[{ address: 87 East San Fernando Street, category: Mexican, date: 2019-03-01, has_seating_outdoors: True, has_vegetarian_options: False, location: San Jose, number_of_seats: 2, phone_number: 408-293-4321, price_range: moderate, rating: 4.00, restaurant_name: Chacho's, time: 11:00 }]\nEnd Search Results"""
"SYSTEM","""Your reservation is successful."""
"USER","""Can you help me get a cab to go there?"""
"SYSTEM","""Are you going to 87 East San Fernando Street? Is there a type of ride you prefer, such as Regular or Pool?"""
"USER","""Yes, that is the address. I would prefer a Pool ride."""
"SYSTEM","""You would like 2 seats in a Pool ride to 87 East San Fernando Street, is that correct?"""
"USER","""Yes, that is right. How long will it be before the cab gets here? How much is it?"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: 87 East San Fernando Street, number_of_seats: 2, ride_type: Pool })"
"Tool","""Search Results\n[{ destination: 87 East San Fernando Street, number_of_seats: 2, ride_fare: 21.04, ride_type: Pool, wait_time: 5 }]\nEnd Search Results"""
"SYSTEM","""Your cab ride is booked and on its way. The expected time is 5 minutes. The ride costs $21.04."""
"USER","""Thank you for your help, that's all for now."""
"SYSTEM","""Have a wonderful day!"""
