"Speaker","Utterance"
"dialogue_id:"," 18_00119"
"USER","""I've got my old college friends visiting and we're looking to go to a show. I'll need three tickets."""
"SYSTEM","""Is there a particular event you're interested in? Is there a certain date I should search?"""
"USER","""The show I want to see is The Lemonheads which is on the 6th of this month."""
"SYSTEM","""Okay, and what city should I look in?"""
"USER","""We're going to be in Philly."""
"SYSTEM","""Let's confirm the details: We're booking 3 tickets for The Lemonheads on March 6th in Philadelphia."""
"USER","""Yes, that sounds good. Where is this show playing?"""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city_of_event: Philadelphia, date: 2019-03-06, event_name: The Lemonheads, number_of_seats: 3 })"
"Tool","""Search Results\n[{ address_of_location: 29 East Allen Street 2nd Floor, city_of_event: Philadelphia, date: 2019-03-06, event_location: The Foundry, event_name: The Lemonheads, number_of_seats: 3, time: 20:30 }]\nEnd Search Results"""
"SYSTEM","""Your tickets are booked. Enjoy the show! The concert is happening at The Foundry."""
"USER","""Thanks for your help. I'd also like to find a bus ride there."""
"SYSTEM","""Are you departing on March 6th? Where will you be leaving from?"""
"USER","""I'm leaving from Washington and I'd like to leave later today."""
"SYSTEM","APICall(method='FindBus', parameters={ from_location: Washington, leaving_date: 2019-03-01, to_location: Philadelphia, travelers: 3 })"
"Tool","""Search Results\n[{ fare: 30, from_location: Washington, from_station: Union Station, leaving_date: 2019-03-01, leaving_time: 07:10, to_location: Philadelphia, to_station: Intercity Terminal, transfers: 0, travelers: 3 }, { fare: 27, from_location: Washington, from_station: Union Station, leaving_date: 2019-03-01, leaving_time: 07:50, to_location: Philadelphia, to_station: Intercity Terminal, transfers: 0, travelers: 3 }]\nEnd Search Results"""
"SYSTEM","""I found a bus departing at 7:10 am with 0 transfers for $30."""
"USER","""What bus station am I leaving from and where will I be arriving?"""
"SYSTEM","""The bus departs from Union Station and arrives at Intercity Terminal."""
"USER","""Okay that's fine. I'd like to get tickets on this bus."""
"SYSTEM","""Okay,let's confirm the details: You're getting 3 tickets for the bus from Washington bound for Philadelphia that departs on March 1st at 7:10 am."""
"USER","""Yes, that's correct."""
"SYSTEM","APICall(method='BuyBusTicket', parameters={ from_location: Washington, leaving_date: 2019-03-01, leaving_time: 07:10, to_location: Philadelphia, travelers: 3 })"
"Tool","""Search Results\n[{ fare: 30, from_location: Washington, from_station: Union Station, leaving_date: 2019-03-01, leaving_time: 07:10, to_location: Philadelphia, to_station: Intercity Terminal, transfers: 0, travelers: 3 }]\nEnd Search Results"""
"SYSTEM","""Okay, you're all set. Your tickets are booked."""
"USER","""Thanks for your help."""
"SYSTEM","""Is there anything else I can help you with?"""
"USER","""No, that's all for now, thanks."""
"SYSTEM","""Have a great day!"""
