"Speaker","Utterance"
"dialogue_id:"," 19_00095"
"USER","""can you find me something fun to do"""
"SYSTEM","""what city should i search in and what category are you interested in"""
"USER","""i want to go to a concert in ny"""
"SYSTEM","APICall(method='FindEvents', parameters={ category: Music, city_of_event: New York })"
"Tool","""Search Results\n[{ address_of_location: 261 Driggs Avenue, Brooklyn, category: Music, city_of_event: New York, date: 2019-03-14, event_location: Warsaw, event_name: Amber Run Brooklyn, subcategory: Pop, time: 18:00 }, { address_of_location: 56-15 Northern Boulevard, Woodside, category: Music, city_of_event: New York, date: 2019-03-06, event_location: La Boom, event_name: Americo, subcategory: International, time: 18:30 }]\nEnd Search Results"""
"SYSTEM","""what about amber run brooklyn at warsaw on march 14th at 6 pm"""
"USER","""thats great"""
"SYSTEM","""would you like to buy a ticket"""
"USER","""yes please"""
"SYSTEM","""how many ticket do you need"""
"USER","""i need 3 tickets"""
"SYSTEM","""please confirm your purchase of 3 tickets to amber run brooklyn in new york on march 14th"""
"USER","""yes pleas. what is their address"""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city_of_event: New York, date: 2019-03-14, event_name: Amber Run Brooklyn, number_of_seats: 3 })"
"Tool","""Search Results\n[{ address_of_location: 261 Driggs Avenue, Brooklyn, city_of_event: New York, date: 2019-03-14, event_location: Warsaw, event_name: Amber Run Brooklyn, number_of_seats: 3, time: 18:00 }]\nEnd Search Results"""
"SYSTEM","""your ticket is booked. their address is 261 driggs avenue, brooklyn"""
"USER","""thank you for the help, please also find me a cab to get there"""
"SYSTEM","""please confirm your cab of 3 people to warsaw"""
"USER","""yes please"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: Warsaw, number_of_riders: 3, shared_ride: True })"
"Tool","""Search Results\n[{ approximate_ride_duration: 24, destination: Warsaw, number_of_riders: 3, ride_fare: 13.28, shared_ride: True }]\nEnd Search Results"""
"SYSTEM","""your cab is on the way"""
"USER","""what's the total cost"""
"SYSTEM","""it is $13.28"""
"USER","""thank you"""
"SYSTEM","""what else can i do for you"""
"USER","""no thanks you"""
"SYSTEM","""have a nice day"""
