"Speaker","Utterance"
"dialogue_id:"," 62_00033"
"USER","""Will you look for a General Practitioner in Napa?"""
"SYSTEM","APICall(method='FindProvider', parameters={ city: Napa, type: General Practitioner })"
"Tool","""Search Results\n[{ average_rating: 5.00, city: Napa, doctor_name: Alex De Moraes, MD, phone_number: 707-257-1550, street_address: 935 Trancas Street, type: General Practitioner }, { average_rating: 4.20, city: Napa, doctor_name: Andrew Patrinellis, MD, phone_number: 707-266-1875, street_address: 3569 Round Barn Circle, type: General Practitioner }]\nEnd Search Results"""
"SYSTEM","""Alex De Moraes, MD in Napa is a General Practitioner."""
"USER","""Will you find a ENT Specialist in SF?"""
"SYSTEM","APICall(method='FindProvider', parameters={ city: San Francisco, type: ENT Specialist })"
"Tool","""Search Results\n[{ average_rating: 5.00, city: San Francisco, doctor_name: Aaron Tward, M.D., phone_number: 415-353-2757, street_address: 2380 Sutter Street, type: ENT Specialist }, { average_rating: 4.80, city: San Francisco, doctor_name: Clifford Chew, MD, phone_number: 415-433-7945, street_address: 45 Castro Street, type: ENT Specialist }]\nEnd Search Results"""
"SYSTEM","""I found 10. Aaron Tward, M.D. in San Francisco is an ENT Specialist."""
"USER","""That's great."""
"SYSTEM","""Schedule a visit?"""
"USER","""That's fine."""
"SYSTEM","""What date?"""
"USER","""March 5th."""
"SYSTEM","""What time?"""
"USER","""1st of this month at 1 pm."""
"SYSTEM","""Please confirm Aaron Tward, M.D. on March 1st at 1 pm."""
"USER","""Make that four in the evening."""
"SYSTEM","""Please confirm appointment on March 1st at 4 pm."""
"USER","""Super."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-01, appointment_time: 16:00, doctor_name: Aaron Tward, M.D. })"
"Tool","""Search Results\n[{ appointment_date: 2019-03-01, appointment_time: 15:30, average_rating: 5.00, doctor_name: Aaron Tward, M.D., phone_number: 415-353-2757, street_address: 2380 Sutter Street, type: ENT Specialist }]\nEnd Search Results"""
"SYSTEM","""I was unable to make the appointment. Try Aaron Tward, M.D. on March 1st at 3:30 pm?"""
"USER","""Fantastic."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-01, appointment_time: 15:30, doctor_name: Aaron Tward, M.D. })"
"Tool","""Search Results\n[{ appointment_date: 2019-03-01, appointment_time: 15:30, average_rating: 5.00, doctor_name: Aaron Tward, M.D., phone_number: 415-353-2757, street_address: 2380 Sutter Street, type: ENT Specialist }]\nEnd Search Results"""
"SYSTEM","""I've scheduled your appointment."""
"USER","""Will you add it to my calendar?"""
"SYSTEM","""What time? Is location at 2380 Sutter Street? Name to use for event?"""
"USER","""Great. Input ENT visit at quarter past 3 in the afternoon."""
"SYSTEM","""Please confirm ENT visit at 2380 Sutter Street on march 1st at 3:15 pm."""
"USER","""Terrific."""
"SYSTEM","APICall(method='AddEvent', parameters={ event_date: 2019-03-01, event_location: 2380 Sutter Street, event_name: ENT visit, event_time: 15:15 })"
"Tool","""Search Results\n[{ event_date: 2019-03-01, event_location: 2380 Sutter Street, event_name: ENT visit, event_time: 15:15 }]\nEnd Search Results"""
"SYSTEM","""I've added the event."""
"USER","""Thanks."""
"SYSTEM","""Anything else?"""
"USER","""No. That's it."""
"SYSTEM","""Have a wonderful day."""
