"Speaker","Utterance"
"dialogue_id:"," 58_00097"
"USER","""I need a round trip flights from Los Angeles. I want to come back on the 9th of this month"""
"SYSTEM","""What is the departure date? Where do you want to go?"""
"USER","""I want to go to NY. Date of departure on the 2nd"""
"SYSTEM","APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-02, destination_city: New York, origin_city: Los Angeles, return_date: 2019-03-09 })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-02, destination_airport: JFK International Airport, destination_city: New York, inbound_arrival_time: 19:57, inbound_departure_time: 15:40, number_stops: 1, origin_airport: LAX International Airport, origin_city: Los Angeles, outbound_arrival_time: 03:30, outbound_departure_time: 18:20, passengers: 1, price: 256, refundable: False, return_date: 2019-03-09, seating_class: Economy }, { airlines: Delta Airlines, departure_date: 2019-03-02, destination_airport: JFK International Airport, destination_city: New York, inbound_arrival_time: 10:40, inbound_departure_time: 07:30, number_stops: 0, origin_airport: LAX International Airport, origin_city: Los Angeles, outbound_arrival_time: 08:05, outbound_departure_time: 22:55, passengers: 1, price: 225, refundable: False, return_date: 2019-03-09, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""There are 4 flights. With American Airlines there's a fligh at 6:20 pm, with return at 3:40 pm. It costs $256"""
"USER","""What is the destination airport? What time does the return flight land?"""
"SYSTEM","""The destination airport is JFK International Airport. The return flight lands at 7:57 pm"""
"USER","""Ok, It's perfect for me! I want to buy the ticket"""
"SYSTEM","""1 ticket in Economy with American Airlines, from Los Angeles to New York, on March 2nd at 6:20 pm, with return on March 9th at 3:40 pm. Is it correct?"""
"USER","""Yes, It's correct, you can proceed with the purchase"""
"SYSTEM","APICall(method='ReserveRoundtripFlights', parameters={ airlines: American Airlines, departure_date: 2019-03-02, destination_city: New York, inbound_departure_time: 15:40, origin_city: Los Angeles, outbound_departure_time: 18:20, passengers: 1, return_date: 2019-03-09, seating_class: Economy })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-02, destination_airport: JFK International Airport, destination_city: New York, inbound_arrival_time: 19:57, inbound_departure_time: 15:40, number_stops: 1, origin_airport: LAX International Airport, origin_city: Los Angeles, outbound_arrival_time: 03:30, outbound_departure_time: 18:20, passengers: 1, price: 256, refundable: False, return_date: 2019-03-09, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""Good! Your ticket is booked!"""
"USER","""Can the ticket be refunded? How many stops are provided?"""
"SYSTEM","""No, the ticket cannot be refunded. It has 1 stops"""
"USER","""Thank you. I'm looking for something intresting to do."""
"SYSTEM","""What kind of event are you looking for?"""
"USER","""I'd like Concert events"""
"SYSTEM","APICall(method='FindEvents', parameters={ category: Music, city_of_event: New York })"
"Tool","""Search Results\n[{ address_of_location: 261 Driggs Avenue, Brooklyn, category: Music, city_of_event: New York, date: 2019-03-14, event_location: Warsaw, event_name: Amber Run Brooklyn, subcategory: Pop, time: 18:00 }, { address_of_location: 56-15 Northern Boulevard, Woodside, category: Music, city_of_event: New York, date: 2019-03-06, event_location: La Boom, event_name: Americo, subcategory: International, time: 18:30 }]\nEnd Search Results"""
"SYSTEM","""I suggest Amber Run Brooklyn at Warsaw on March 14th at 6 pm"""
"USER","""I would like more information on this event. What is the Warsaw address?"""
"SYSTEM","""This is a pop music concert. Warsaw is located in 261 Driggs Avenue, Brooklyn."""
"USER","""It looks nice, but I prefer other events"""
"SYSTEM","""At La Boom on March 6th at 6:30 pm there's Americo"""
"USER","""Yes, this sounds interesting"""
"SYSTEM","""Do you want to book tickets?"""
"USER","""Not now, thanks"""
"SYSTEM","""Do you need anything else?"""
"USER","""No, It's all. Thanks a lot"""
"SYSTEM","""Have a good day"""
