"Speaker","Utterance"
"dialogue_id:"," 55_00051"
"USER","""I need one-way flights for four. I am not sure if I would be going, so I would prefer refundable tickets."""
"SYSTEM","""When would you like to go?"""
"USER","""later today. I would be leaving NY. Doesn't matter which airline."""
"SYSTEM","""Where would you like to go?"""
"USER","""I am heading washington."""
"SYSTEM","APICall(method='SearchOnewayFlight', parameters={ departure_date: 2019-03-01, destination_city: Washington, origin_city: New York, passengers: 4, refundable: True })"
"Tool","""Search Results\n[{ airlines: Southwest Airlines, departure_date: 2019-03-01, destination_airport: Dulles International Airport, destination_city: Washington, number_stops: 0, origin_airport: JFK International Airport, origin_city: New York, outbound_arrival_time: 15:45, outbound_departure_time: 14:35, passengers: 4, price: 85, refundable: True, seating_class: Economy }, { airlines: United Airlines, departure_date: 2019-03-01, destination_airport: Dulles International Airport, destination_city: Washington, number_stops: 0, origin_airport: JFK International Airport, origin_city: New York, outbound_arrival_time: 14:45, outbound_departure_time: 13:35, passengers: 4, price: 71, refundable: True, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""There are 2 suitable flights. Southwest airlines has an outbound flight that departs at 2:35 pm. It has 0 stops and the price is $85"""
"USER","""Are there any other flights?"""
"SYSTEM","""United airlines has an outbound flight that leaves at 1:35 pm. There are 0 stops and it costs $71"""
"USER","""What time does the onward flight land?"""
"SYSTEM","""It lands at 2:45 pm."""
"USER","""That would be great."""
"SYSTEM","""You would like tickets?"""
"USER","""Yes. Book me seats on economy class."""
"SYSTEM","""You would like 4 economy tickets on a flight leaving on March 1st from New York to Washington on United Airlines?"""
"USER","""Yes, that would be cool. What airport would I land in?"""
"SYSTEM","APICall(method='ReserveOnewayFlight', parameters={ airlines: United Airlines, departure_date: 2019-03-01, destination_city: Washington, origin_city: New York, passengers: 4, refundable: True, seating_class: Economy })"
"Tool","""Search Results\n[{ airlines: United Airlines, departure_date: 2019-03-01, destination_airport: Dulles International Airport, destination_city: Washington, number_stops: 0, origin_airport: JFK International Airport, origin_city: New York, outbound_arrival_time: 14:45, outbound_departure_time: 13:35, passengers: 4, price: 71, refundable: True, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""Dulles International Airport."""
"USER","""I will need a bus to get there on the 4th."""
"SYSTEM","APICall(method='FindBus', parameters={ from_location: New York, leaving_date: 2019-03-04, to_location: Washington, travelers: 4 })"
"Tool","""Search Results\n[{ fare: 39, from_location: New York, from_station: Port Authority Station, leaving_date: 2019-03-04, leaving_time: 06:00, to_location: Washington, to_station: Union Station, transfers: 0, travelers: 4 }, { fare: 38, from_location: New York, from_station: Port Authority Station, leaving_date: 2019-03-04, leaving_time: 09:40, to_location: Washington, to_station: Union Station, transfers: 0, travelers: 4 }]\nEnd Search Results"""
"SYSTEM","""There is a bus leaving at 6 am. There price is $39 and there are 0 transfers."""
"USER","""That would be awesome. I am done for now."""
"SYSTEM","""Enjoy your day."""
