"Speaker","Utterance"
"dialogue_id:"," 126_00083"
"USER","""help call a cab"""
"SYSTEM","""how many folks?"""
"USER","""it is for one"""
"SYSTEM","""where to then?"""
"USER","""2646 ashby avenue"""
"SYSTEM","""2646 ashby avenue for 1 person"""
"USER","""yes that works for me"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: 2646 Ashby Avenue, number_of_riders: 1, shared_ride: True })"
"Tool","""Search Results\n[{ approximate_ride_duration: 29, destination: 2646 Ashby Avenue, number_of_riders: 1, ride_fare: 10.97, shared_ride: True }]\nEnd Search Results"""
"SYSTEM","""it is booked"""
"USER","""how much then?"""
"SYSTEM","""29 minutes for $10.97"""
"USER","""thanks a lot"""
"SYSTEM","APICall(method='LookupSong', parameters={  })"
"Tool","""Search Results\n[{ album: California Sunrise, artist: Jon Pardi, genre: Country, song_name: Night Shift, year: 2016 }, { album: King Of Everything, artist: Jinjer, genre: Metal, song_name: Pisces, year: 2016 }]\nEnd Search Results"""
"SYSTEM","""10 songs night shift by jon pardi california sunrise"""
"USER","""yes that is it"""
"SYSTEM","""wanna play it?"""
"USER","""yes I do"""
"SYSTEM","""night shift on the tv"""
"USER","""is it 2012?"""
"SYSTEM","APICall(method='PlaySong', parameters={ playback_device: TV, song_name: Night Shift })"
"Tool","""Search Results\n[{ album: California Sunrise, artist: Jon Pardi, genre: Country, playback_device: TV, song_name: Night Shift, year: 2016 }]\nEnd Search Results"""
"SYSTEM","""it is 2016 country"""
"USER","""thanks a lot"""
"SYSTEM","""have a nice one"""
