"Speaker","Utterance"
"dialogue_id:"," 90_00027"
"USER","""Can you help me find attractions, preferably a Performing Arts Venue?"""
"SYSTEM","""What city do you want to look in?"""
"USER","""I want to look in Paris."""
"SYSTEM","APICall(method='FindAttractions', parameters={ category: Performing Arts Venue, location: Paris })"
"Tool","""Search Results\n[{ attraction_name: Arab World Institute, category: Performing Arts Venue, free_entry: False, good_for_kids: False, location: Paris, phone_number: 1 40 51 38 38 }, { attraction_name: Carreau du Temple, category: Performing Arts Venue, free_entry: False, good_for_kids: True, location: Paris, phone_number: 1 83 81 93 30 }]\nEnd Search Results"""
"SYSTEM","""There's the Arab World Institute. It's a Performing Arts Venue."""
"USER","""Is this place suitable for children? And can you give me their phone number."""
"SYSTEM","""This place is not recommended for children. Their phone number is 1 40 51 38 38."""
"USER","""Okay, do you have any other recommendations?"""
"SYSTEM","""Carreau du Temple is also a Performing Arts Venue."""
"USER","""Nice. What's the weather going to be like there on March 12th?"""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Paris, date: 2019-03-12 })"
"Tool","""Search Results\n[{ city: Paris, date: 2019-03-12, humidity: 34, precipitation: 16, temperature: 72, wind: 12 }]\nEnd Search Results"""
"SYSTEM","""It will be 72 degrees Fahrenheit during the day on average and there's a 16 percent chance it will rain."""
"USER","""Alright. I'll need a cab to get there, shared ride is fine."""
"SYSTEM","""How many people will be travelling?"""
"USER","""Just one person."""
"SYSTEM","""I'll get you a shared ride cab for 1 person to Carreau du Temple, is that correct?"""
"USER","""Yeah, that's what I want."""
"SYSTEM","APICall(method='GetRide', parameters={ destination: Carreau du Temple, number_of_riders: 1, shared_ride: True })"
"Tool","""Search Results\n[{ approximate_ride_duration: 7, destination: Carreau du Temple, number_of_riders: 1, ride_fare: 15.13, shared_ride: True }]\nEnd Search Results"""
"SYSTEM","""I booked the cab and it is on route now."""
"USER","""Thanks so much."""
"SYSTEM","""Would you like me to do anything else?"""
"USER","""No, thanks again for the help."""
"SYSTEM","""Have a wonderful day!"""
