"Speaker","Utterance"
"dialogue_id:"," 118_00061"
"USER","""Hi there, could you help me search for a spacious car for rental from Walnut Creek on March 11th?"""
"SYSTEM","""Sure, what time will you need it and when will you use the car till?"""
"USER","""I will pick up the car at around 14:30 and use it until the 12th of March."""
"SYSTEM","APICall(method='GetCarsAvailable', parameters={ dropoff_date: 2019-03-12, pickup_city: Walnut Creek, pickup_date: 2019-03-11, pickup_time: 14:30, type: Full-size })"
"Tool","""Search Results\n[{ car_name: CR-V, dropoff_date: 2019-03-12, pickup_city: Walnut Creek, pickup_date: 2019-03-11, pickup_location: Downtown, pickup_time: 14:00, total_price: 43, type: Full-size }, { car_name: Equinox, dropoff_date: 2019-03-12, pickup_city: Walnut Creek, pickup_date: 2019-03-11, pickup_location: BART Station, pickup_time: 14:00, total_price: 46, type: Full-size }]\nEnd Search Results"""
"SYSTEM","""There are 4 cars which you may like, one of which is a Full-size CR-V available for your pickup at Downtown on March 11th."""
"USER","""Are there any alternatives? Would prefer to pick it up at 8 o""clock in the night instead."""
"SYSTEM","APICall(method='GetCarsAvailable', parameters={ dropoff_date: 2019-03-12, pickup_city: Walnut Creek, pickup_date: 2019-03-11, pickup_time: 20:00, type: Full-size })"
"Tool","""Search Results\n[{ car_name: Equinox, dropoff_date: 2019-03-12, pickup_city: Walnut Creek, pickup_date: 2019-03-11, pickup_location: BART Station, pickup_time: 20:00, total_price: 46, type: Full-size }, { car_name: Highlander, dropoff_date: 2019-03-12, pickup_city: Walnut Creek, pickup_date: 2019-03-11, pickup_location: BART Station, pickup_time: 20:00, total_price: 40, type: Full-size }]\nEnd Search Results"""
"SYSTEM","""There is a Full-size Equinox available for your pickup from BART Station on March 11th."""
"USER","""Are there any alternatives?"""
"SYSTEM","""There is also a Full-size Highlander available for your pickup from BART Station on March 11th."""
"USER","""How much will this cost me?"""
"SYSTEM","""This will cost you a total of $40."""
"USER","""That sounds great! Could you make a car reservation for me please?"""
"SYSTEM","""Sure, please confirm your reservation for a full-size car from BART Station at March 11th at 8 pm to March 12th."""
"USER","""Yes, that is perfect!"""
"SYSTEM","APICall(method='ReserveCar', parameters={ dropoff_date: 2019-03-12, pickup_date: 2019-03-11, pickup_location: BART Station, pickup_time: 20:00, type: Full-size })"
"Tool","""Search Results\n[{ car_name: Highlander, dropoff_date: 2019-03-12, pickup_date: 2019-03-11, pickup_location: BART Station, pickup_time: 20:00, total_price: 40, type: Full-size }]\nEnd Search Results"""
"SYSTEM","""Your reservation has been made."""
"USER","""Thank you so much, could you also help to find an apartment there please?"""
"SYSTEM","""How many bed rooms are you looking at?"""
"USER","""Just 4 will do."""
"SYSTEM","APICall(method='FindApartment', parameters={ area: Walnut Creek, number_of_beds: 4 })"
"Tool","""Search Results\n[{ address: 1195 Saranap Avenue # 14, area: Walnut Creek, furnished: True, number_of_baths: 3, number_of_beds: 4, pets_allowed: True, phone_number: 925-937-1324, property_name: Birchwood Apartments, rent: 4750 }, { address: 245 Masters Court, area: Walnut Creek, furnished: False, number_of_baths: 3, number_of_beds: 4, pets_allowed: True, phone_number: 925-906-9000, property_name: Club Villas, rent: 4800 }]\nEnd Search Results"""
"SYSTEM","""Would you like the Birchwood Apartments located at 1195 Saranap Avenue # 14 with 4 bedrooms and 3 baths which will cost you $4,750 each month?"""
"USER","""Sure, that is fine with me."""
"SYSTEM","""Would you like me to schedule a visit to the property?"""
"USER","""No, that is not necessary."""
"SYSTEM","""Sure, do you need any other help then?"""
"USER","""No, that is all I need for now. Thank you!"""
"SYSTEM","""No worries, have a great day ahead!"""
