"Speaker","Utterance"
"dialogue_id:"," 15_00060"
"USER","""Could you find me a therapist for me?"""
"SYSTEM","""In which city you want to be and do you need a Psychologist or a Family Counselor or perhaps another king?"""
"USER","""I need a Family Counselor in Mountain View."""
"SYSTEM","APICall(method='FindProvider', parameters={ city: Mountain View, type: Family Counselor })"
"Tool","""Search Results\n[{ address: 1059 El Monte Avenue # B, city: Mountain View, phone_number: 650-964-6993, therapist_name: Kane Monique, type: Family Counselor }, { address: 1059 El Monte Avenue Suite B, city: Mountain View, phone_number: 408-206-9066, therapist_name: Sushma S. Trivedi, Ma, type: Family Counselor }]\nEnd Search Results"""
"SYSTEM","""Could you try a Family Counselor called Kane Monique in Mountain View."""
"USER","""Sounds very good."""
"SYSTEM","""Yo want to make an appointment on this therapist?"""
"USER","""No,not now.Tell me how will be the weather there on 6th of March."""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Mountain View, date: 2019-03-06 })"
"Tool","""Search Results\n[{ city: Mountain View, date: 2019-03-06, humidity: 27, precipitation: 21, temperature: 75, wind: 1 }]\nEnd Search Results"""
"SYSTEM","""For the day the average temperature should be 75 degrees Fahrenheit and 21 percent of chance of rain."""
"USER","""Okay.Go back please and book me an appointment at the therapist that you have found in that day on afternoon 3:15."""
"SYSTEM","""Book an appointment on March 6th at 3:15 pm at Kane Monique.Is Ok?"""
"USER","""No.Make the appointment on afternoon 12."""
"SYSTEM","""At 12 pm on March 6th.I'm right?"""
"USER","""Yes that's very good."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-06, appointment_time: 12:00, therapist_name: Kane Monique })"
"Tool","""Search Results\n[]\nEnd Search Results"""
"SYSTEM","""I'm sorry but the appointment couldn't be done. Can I help with anything else?"""
"USER","""No.Thank you for your effort."""
"SYSTEM","""Happy to help !"""
