"Speaker","Utterance"
"dialogue_id:"," 53_00030"
"USER","""Make me a hotel reservation"""
"SYSTEM","""Which city and whats the check in date?"""
"USER","""Looking for hotels in London for the 2nd"""
"SYSTEM","""for how many days?"""
"USER","""for only 1 day"""
"SYSTEM","""Which hotel to book?"""
"USER","""Book the Doubletree By hilton Hotel London - Ealing"""
"SYSTEM","""PLease confirm: Booking 1 hotel room for 1 day at the Doubletree By hilton Hotel London - Ealing, London for a checkin of March 2nd"""
"USER","""Yes, thats right"""
"SYSTEM","APICall(method='ReserveHotel', parameters={ check_in_date: 2019-03-02, destination: London, hotel_name: Doubletree By Hilton Hotel London - Ealing, number_of_days: 1, number_of_rooms: 1 })"
"Tool","""Search Results\n[{ check_in_date: 2019-03-02, destination: London, has_wifi: False, hotel_name: Doubletree By Hilton Hotel London - Ealing, number_of_days: 1, number_of_rooms: 1, phone_number: +44 20 8896 8400, price_per_night: 248, star_rating: 4, street_address: 2-8 Hanger Lane }]\nEnd Search Results"""
"SYSTEM","""your booking is odne"""
"USER","""Ok, now get me a flight to London for three people from Chi-town"""
"SYSTEM","""on March 2nd?"""
"USER","""No, make it March 1st"""
"SYSTEM","APICall(method='SearchOnewayFlight', parameters={ departure_date: 2019-03-01, destination_city: London, origin_city: Chicago, passengers: 3 })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-01, destination_airport: Heathrow International Airport, destination_city: London, number_stops: 1, origin_airport: O'Hare International Airport, origin_city: Chicago, outbound_arrival_time: 06:04, outbound_departure_time: 04:30, passengers: 3, price: 444, refundable: False, seating_class: Economy }, { airlines: Delta Airlines, departure_date: 2019-03-01, destination_airport: Heathrow International Airport, destination_city: London, number_stops: 1, origin_airport: O'Hare International Airport, origin_city: Chicago, outbound_arrival_time: 06:37, outbound_departure_time: 09:15, passengers: 3, price: 320, refundable: False, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""I got 3 flights, of which there is a 1 stop American Airlines flight leaving at 4:30 am and costs $444"""
"USER","""anything else available?"""
"SYSTEM","""yes, there is a 1 stop Delta Airlines flight leaving at 9:15 am and costs $320"""
"USER","""when doe sit arrive"""
"SYSTEM","""at 6:37 am"""
"USER","""that is good"""
"SYSTEM","""should i book it?"""
"USER","""yes please"""
"SYSTEM","""please confirm: booking 3 economy tickets on a Delta Airlines flight leaving from Chicago to London on march 1st"""
"USER","""yes, ok. Is it refundable and whats the departure airport?"""
"SYSTEM","APICall(method='ReserveOnewayFlight', parameters={ airlines: Delta Airlines, departure_date: 2019-03-01, destination_city: London, origin_city: Chicago, passengers: 3, seating_class: Economy })"
"Tool","""Search Results\n[{ airlines: Delta Airlines, departure_date: 2019-03-01, destination_airport: Heathrow International Airport, destination_city: London, number_stops: 1, origin_airport: O'Hare International Airport, origin_city: Chicago, outbound_arrival_time: 06:37, outbound_departure_time: 09:15, passengers: 3, price: 320, refundable: False, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""Its booked. It leaves from O'Hare international airport and the ticket is not refundable"""
"USER","""thanks, thats all"""
"SYSTEM","""have a good day!"""
