"Speaker","Utterance"
"dialogue_id:"," 95_00025"
"USER","""I need a bus to go to Seattle, on 6th of this month. It's for 1 people."""
"SYSTEM","""What is the city of departure?"""
"USER","""The city of departure is Vancouver, BC"""
"SYSTEM","APICall(method='FindBus', parameters={ from_location: Vancouver, leaving_date: 2019-03-06, to_location: Seattle, travelers: 1 })"
"Tool","""Search Results\n[{ fare: 28, from_location: Vancouver, from_station: Pacific Central Station, leaving_date: 2019-03-06, leaving_time: 06:40, to_location: Seattle, to_station: King Street Station, transfers: 0, travelers: 1 }, { fare: 30, from_location: Vancouver, from_station: Pacific Central Station, leaving_date: 2019-03-06, leaving_time: 08:10, to_location: Seattle, to_station: King Street Station, transfers: 0, travelers: 1 }]\nEnd Search Results"""
"SYSTEM","""There is a bus at 6:40 am, it costs $28 and has 0 transfers"""
"USER","""Ok, It's perfect! I want to reserve a ticket"""
"SYSTEM","""A ticket for 1 people froma Vancouver to Seattle, on March 6th at 6:40 am. Do you confirm?"""
"USER","""Yes, I confirm. What is the arrival station?"""
"SYSTEM","APICall(method='BuyBusTicket', parameters={ from_location: Vancouver, leaving_date: 2019-03-06, leaving_time: 06:40, to_location: Seattle, travelers: 1 })"
"Tool","""Search Results\n[{ fare: 28, from_location: Vancouver, from_station: Pacific Central Station, leaving_date: 2019-03-06, leaving_time: 06:40, to_location: Seattle, to_station: King Street Station, transfers: 0, travelers: 1 }]\nEnd Search Results"""
"SYSTEM","""King Street Station. Your ticket is booked!"""
"USER","""What is the departure station?"""
"SYSTEM","""The departure station is Pacific Central Station"""
"USER","""Perfect! Now I want to book a room in a hotel there"""
"SYSTEM","APICall(method='SearchHotel', parameters={ destination: Seattle })"
"Tool","""Search Results\n[{ destination: Seattle, has_wifi: True, hotel_name: Ace Hotel Seattle, number_of_rooms: 1, phone_number: +1 206-448-4721, price_per_night: 44, star_rating: 2, street_address: 2423 1st Avenue }, { destination: Seattle, has_wifi: True, hotel_name: Belltown Inn, number_of_rooms: 3, phone_number: +1 866-525-4704, price_per_night: 180, star_rating: 2, street_address: 2301 3rd Avenue }]\nEnd Search Results"""
"SYSTEM","""There are 10 hotels, for example Ace Hotel Seattle, a 2 star hotel"""
"USER","""What is the phone number of this hotel? Is wifi available?"""
"SYSTEM","""Phone number is +1 206-448-4721. Wifi is available."""
"USER","""Ok, thank you so much! It's all for now."""
"SYSTEM","""Have a nice day!"""
