"Speaker","Utterance"
"dialogue_id:"," 31_00107"
"USER","""I am needing to seek counseling and need a therapist. Will you search for a family counselor?"""
"SYSTEM","""In what city would you like me to search?"""
"USER","""Please look in the area of Lafayette."""
"SYSTEM","APICall(method='FindProvider', parameters={ city: Lafayette, type: Family Counselor })"
"Tool","""Search Results\n[{ address: 3470 Mount Diablo Boulevard A200, city: Lafayette, phone_number: 925-212-7483, therapist_name: Building Better Relationships, type: Family Counselor }, { address: 3468 Mount Diablo Boulevard B301, city: Lafayette, phone_number: 510-508-2169, therapist_name: Cynthia Mansur, type: Family Counselor }]\nEnd Search Results"""
"SYSTEM","""I found one that may work for you in Lafayette. They are under family counselor and are called Building Better Relationships."""
"USER","""Please provide me with their phone number."""
"SYSTEM","""You may reach them at 925-212-7483."""
"USER","""Also, please give me their address."""
"SYSTEM","""The address listed is 3470 Mount Diablo Boulevard A200."""
"USER","""Would you also provide me with some other therapists listed?"""
"SYSTEM","""Here is another family counselor in Lafayette. Her name is Cynthia Mansur."""
"USER","""That one sounds good."""
"SYSTEM","""Would you like to schedule an appointment?"""
"USER","""Yes, please schedule an appointment for Monday next week."""
"SYSTEM","""Do you have a time preference for the appointment?"""
"USER","""Yes, please try to schedule around 12 pm."""
"SYSTEM","""Please confirm you would like a 12 pm appointment on March 4th with Cynthia Mansur."""
"USER","""That is correct."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-04, appointment_time: 12:00, therapist_name: Cynthia Mansur })"
"Tool","""Search Results\n[]\nEnd Search Results"""
"SYSTEM","""Unfortunately I was not able to schedule that appointment. May I help with anything else?"""
"USER","""Yes, please try scheduling the appointment on the 14th for 1 in the afternoon."""
"SYSTEM","""Please confirm you would like a 1 pm appointment on March 14th with Cynthia Mansur."""
"USER","""Yes, that is right."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-14, appointment_time: 13:00, therapist_name: Cynthia Mansur })"
"Tool","""Search Results\n[{ address: 3468 Mount Diablo Boulevard B301, appointment_date: 2019-03-14, appointment_time: 13:00, phone_number: 510-508-2169, therapist_name: Cynthia Mansur }]\nEnd Search Results"""
"SYSTEM","""That day worked! Your appointment has been scheduled and you wi receive a confirmation email shortly."""
"USER","""Please provide me with her contact number."""
"SYSTEM","""You may reach her at 510-508-2169."""
"USER","""Great. Thanks for being so helpful today Now, do you have any movie recommendations?"""
"SYSTEM","APICall(method='FindMovies', parameters={  })"
"Tool","""Search Results\n[{ cast: Pavle Cemerikic, directed_by: Ognjen Glavonic, genre: War, movie_title: The Load, percent_rating: 100 }, { cast: Sushant Singh Rajput, directed_by: Nitesh Tiwari, genre: Comedy, movie_title: Chhichhore, percent_rating: 60 }]\nEnd Search Results"""
"SYSTEM","""I found the movie The Load which has an average rating of 100."""
"USER","""Does it list the movie director?"""
"SYSTEM","""The movie director of the movie is Ognjen Glavonic."""
"USER","""Great. Thanks very much for your help!"""
"SYSTEM","""Do you need further assistance?"""
"USER","""No, that is all for now. Thanks again!"""
"SYSTEM","""You are welcome! It's always a pleasure to assist you!"""
