"Speaker","Utterance"
"dialogue_id:"," 19_00019"
"USER","""I'll be taking a trip and could use some help in securing a rental car."""
"SYSTEM","""Where would like to pick up the rental car? What time and date would you like the reservation?"""
"USER","""I'll be picking up the car at 15:30 on March 5th in Seattle, WA."""
"SYSTEM","""What day will you be returning the car?"""
"USER","""It will be returned on the 11th."""
"SYSTEM","APICall(method='GetCarsAvailable', parameters={ city: Seattle, end_date: 2019-03-11, pickup_time: 15:30, start_date: 2019-03-05 })"
"Tool","""Search Results\n[{ car_name: Audi A8, car_type: Sedan, city: Seattle, end_date: 2019-03-11, pickup_location: King Street Station, pickup_time: 15:30, price_per_day: 30.00, start_date: 2019-03-05 }, { car_name: Dacia Duster, car_type: SUV, city: Seattle, end_date: 2019-03-11, pickup_location: King Street Station, pickup_time: 15:30, price_per_day: 37.00, start_date: 2019-03-05 }]\nEnd Search Results"""
"SYSTEM","""I've located a nice Sedan Audi A8 available for pickup at King Street Station."""
"USER","""That sounds great."""
"SYSTEM","""Would you like me to book this reservation?"""
"USER","""No thank you. Not yet."""
"SYSTEM","""May I assist you with anything else?"""
"USER","""Can you help me to locate a bus route?"""
"SYSTEM","""Where and when do you plan on leaving?"""
"USER","""I'll be leaving from Vancouver, BC on the 4th of March. I'd like a direct route."""
"SYSTEM","APICall(method='FindBus', parameters={ category: direct, departure_date: 2019-03-04, from_city: Vancouver, to_city: Seattle })"
"Tool","""Search Results\n[{ category: direct, departure_date: 2019-03-04, departure_time: 07:40, from_city: Vancouver, from_station: Pacific Central Station, num_passengers: 1, price: 25, to_city: Seattle, to_station: Westlake Station }, { category: direct, departure_date: 2019-03-04, departure_time: 09:10, from_city: Vancouver, from_station: Pacific Central Station, num_passengers: 1, price: 27, to_city: Seattle, to_station: Westlake Station }]\nEnd Search Results"""
"SYSTEM","""There is a bus departing at 7:40 am for $25."""
"USER","""Where is the departure station?"""
"SYSTEM","""It will be departing from Pacific Central Station."""
"USER","""What are the other available options?"""
"SYSTEM","""There is a departing bus at 9:10 am for $27."""
"USER","""Thank you."""
"SYSTEM","""Would you like to purchase tickets for this bus?"""
"USER","""Not right now."""
"SYSTEM","""Is there anything else I can assist you with?"""
"USER","""What is the cost of a one-way flight with two tickets? I'd like to leave later today."""
"SYSTEM","APICall(method='SearchOnewayFlight', parameters={ departure_date: 2019-03-01, destination_airport: Seattle, number_of_tickets: 2, origin_airport: Vancouver })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-01, destination_airport: Seattle, is_nonstop: False, number_of_tickets: 2, origin_airport: Vancouver, outbound_arrival_time: 20:46, outbound_departure_time: 11:20, price: 253, seating_class: Economy }, { airlines: Delta Airlines, departure_date: 2019-03-01, destination_airport: Seattle, is_nonstop: False, number_of_tickets: 2, origin_airport: Vancouver, outbound_arrival_time: 13:01, outbound_departure_time: 06:35, price: 241, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""I've found a flight with American Airlines departing at 11:20 am. There will be a layover and the flight cost is $253."""
"USER","""Thanks, that is all I need for now."""
"SYSTEM","""Talk to you later."""
