"Speaker","Utterance"
"dialogue_id:"," 107_00020"
"USER","""I would like to find some movies online."""
"SYSTEM","""What kind of movies do you like?"""
"USER","""I would like drama movies directed Madeleine Olnek."""
"SYSTEM","APICall(method='FindMovies', parameters={ directed_by: Madeleine Olnek, genre: Drama })"
"Tool","""Search Results\n[{ directed_by: Madeleine Olnek, genre: Drama, subtitles: True, title: Wild Nights with Emily }]\nEnd Search Results"""
"SYSTEM","""What about the movie Wild Nights with Emily?"""
"USER","""Wild Nights with Emily is perfect! Please search for Indie songs from 2011."""
"SYSTEM","APICall(method='LookupSong', parameters={ genre: Indie, year: 2011 })"
"Tool","""Search Results\n[{ album: Torches, artist: Foster The People, genre: Indie, song_name: Houdini, year: 2011 }]\nEnd Search Results"""
"SYSTEM","""I found 1 song. How about Houdini by Foster the People from the album Torches?"""
"USER","""That one is perfect."""
"SYSTEM","""Would you like to hear this song."""
"USER","""Yes, I would like to hear this song."""
"SYSTEM","""Please confirm you would like to hear Houdini on the TV."""
"USER","""Yes, that is correct."""
"SYSTEM","APICall(method='PlaySong', parameters={ playback_device: TV, song_name: Houdini })"
"Tool","""Search Results\n[{ album: Torches, artist: Foster The People, genre: Indie, playback_device: TV, song_name: Houdini, year: 2011 }]\nEnd Search Results"""
"SYSTEM","""Enjoy the music!"""
"USER","""Thank you, that is all I need right now."""
"SYSTEM","""Enjoy the day!"""
