"Speaker","Utterance"
"dialogue_id:"," 31_00046"
"USER","""Can you find me a salon in San Jose?"""
"SYSTEM","APICall(method='FindProvider', parameters={ city: San Jose })"
"Tool","""Search Results\n[{ average_rating: 4.30, city: San Jose, is_unisex: True, phone_number: 408-293-3494, street_address: 1047 Lincoln Highway suite 101, stylist_name: Atelier Salon Willow Glen }, { average_rating: 5.00, city: San Jose, is_unisex: True, phone_number: 669-258-9601, street_address: 1775 Park Avenue, stylist_name: Barba & Co. San Jose }]\nEnd Search Results"""
"SYSTEM","""There is a nice salon in San Jose calle Atelier Salon Willow Glen."""
"USER","""Can you tell me if it is unisex?"""
"SYSTEM","""Yes, it is a unisex salon!"""
"USER","""Are there any other salons?"""
"SYSTEM","""There is another nice salon in San Jose called Barba & Co. San Jose."""
"USER","""Can you give me their contact number and tell me if it is unisex?"""
"SYSTEM","""There phone number is 669-258-9601 and it is a unisex salon."""
"USER","""That one sounds good, can you book it for me for the 2nd of March at 15:45."""
"SYSTEM","""Please confirm that you would like an appointment at the Barba & Co. San Jose on March 2nd at 3:45 pm."""
"USER","""Perfect! Can you give me their address and tell me what their average rating is?"""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-02, appointment_time: 15:45, stylist_name: Barba & Co. San Jose })"
"Tool","""Search Results\n[{ appointment_date: 2019-03-02, appointment_time: 16:00, average_rating: 5.00, is_unisex: True, phone_number: 669-258-9601, street_address: 1775 Park Avenue, stylist_name: Barba & Co. San Jose }]\nEnd Search Results"""
"SYSTEM","""Yes, their address is 1775 Park Avenue and has a rating of 5.0 but I could not book the appointment. Would you like for me to book it at the Barba & Co. San Jose for March 2nd at 4 pm?"""
"USER","""Yes, that will be perfect!"""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-02, appointment_time: 16:00, stylist_name: Barba & Co. San Jose })"
"Tool","""Search Results\n[{ appointment_date: 2019-03-02, appointment_time: 16:00, average_rating: 5.00, is_unisex: True, phone_number: 669-258-9601, street_address: 1775 Park Avenue, stylist_name: Barba & Co. San Jose }]\nEnd Search Results"""
"SYSTEM","""Ok, I have confirmed your appointment!"""
"USER","""I would also like to find an economical restaurant for that same day. I am looking for outdoor seating and would like American food."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ category: American, has_seating_outdoors: True, location: San Jose, price_range: moderate })"
"Tool","""Search Results\n[{ address: 71 North San Pedro Street, category: American, has_seating_outdoors: True, has_vegetarian_options: True, location: San Jose, phone_number: 408-971-8523, price_range: moderate, rating: 4.00, restaurant_name: 71 Saint Peter }, { address: 511 Coleman Avenue, category: American, has_seating_outdoors: True, has_vegetarian_options: True, location: San Jose, phone_number: 408-343-7230, price_range: moderate, rating: 3.90, restaurant_name: Bj's Restaurant & Brewhouse }]\nEnd Search Results"""
"SYSTEM","""There is a nice restaurant in San Jose called 71 Saint Peter."""
"USER","""Are there any other restaurants you can recommend?"""
"SYSTEM","""There is also a nice one in San Jose called Bj's Restaurant & Brewhouse."""
"USER","""Can you give me their user rating and tell me what their address is?"""
"SYSTEM","""Yes, their street address is 511 Coleman Avenue and they have a user rating of 3.9."""
"USER","""That sounds good! I would like to book a reservation for a table for 6:45 in the evening."""
"SYSTEM","""Please confirm you are booking a reservation for 2 people at Bj's Restaurant & Brewhouse in San Jose for March 2nd at 6:45 pm."""
"USER","""That will be perfect!"""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ date: 2019-03-02, location: San Jose, number_of_seats: 2, restaurant_name: Bj's Restaurant & Brewhouse, time: 18:45 })"
"Tool","""Search Results\n[{ address: 925 Blossom Hill Road, category: American, date: 2019-03-02, has_seating_outdoors: True, has_vegetarian_options: False, location: San Jose, number_of_seats: 2, phone_number: 408-284-4260, price_range: moderate, rating: 4.10, restaurant_name: Bj's Restaurant & Brewhouse, time: 18:30 }]\nEnd Search Results"""
"SYSTEM","""I apologize but I could not book the reservation! Would you like a reservation for 2 people at Bj's restaurant & brewhouse for March 2nd at 6:30 pm?"""
"USER","""That will be fine!"""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ date: 2019-03-02, location: San Jose, number_of_seats: 2, restaurant_name: Bj's Restaurant & Brewhouse, time: 18:30 })"
"Tool","""Search Results\n[{ address: 925 Blossom Hill Road, category: American, date: 2019-03-02, has_seating_outdoors: True, has_vegetarian_options: False, location: San Jose, number_of_seats: 2, phone_number: 408-284-4260, price_range: moderate, rating: 4.10, restaurant_name: Bj's Restaurant & Brewhouse, time: 18:30 }]\nEnd Search Results"""
"SYSTEM","""I have made your reservation!"""
"USER","""Can you please give me their phone number?"""
"SYSTEM","""Yes, their phone number is 408-284-4260."""
"USER","""Thank you for all your help!"""
"SYSTEM","""Is there anything else I can assist you with?"""
"USER","""No, that will be all thank you!"""
"SYSTEM","""Have a beautiful day!"""
