"Speaker","Utterance"
"dialogue_id:"," 20_00077"
"USER","""Hi, are there any houses with laundry service in the Paris, France area?"""
"SYSTEM","APICall(method='SearchHouse', parameters={ has_laundry_service: True, where_to: Paris })"
"Tool","""Search Results\n[{ address: 1 Rue Bayard, 75008, has_laundry_service: True, number_of_adults: 3, phone_number: +33 1 53 75 62 62, rating: 4.50, total_price: 1950, where_to: Paris }, { address: 1 Rue Daunou, 75002, has_laundry_service: True, number_of_adults: 5, phone_number: +33 1 42 61 70 41, rating: 4.10, total_price: 1500, where_to: Paris }]\nEnd Search Results"""
"SYSTEM","""Yes, there are 10 houses you might like. How about a 4.5 rated house located at 1 Rue Bayard, 75008?"""
"USER","""Sounds good! Could you get me a booking there?"""
"SYSTEM","""And when will you be checking in?"""
"USER","""Likely on the 7th of March."""
"SYSTEM","""How many people will be staying there and when will you be checking out?"""
"USER","""I will be checking out on the 13th of this month, and this is for one person."""
"SYSTEM","""Please confirm your reservation for 1 for a house in Paris from March 7th to March 13th."""
"USER","""That sounds perfect!"""
"SYSTEM","APICall(method='BookHouse', parameters={ check_in_date: 2019-03-07, check_out_date: 2019-03-13, number_of_adults: 1, where_to: Paris })"
"Tool","""Search Results\n[{ address: 4 Boulevard Brune, 75014, check_in_date: 2019-03-07, check_out_date: 2019-03-13, has_laundry_service: True, number_of_adults: 1, phone_number: +33 1 71 25 47 37, rating: 4.40, total_price: 2112, where_to: Paris }]\nEnd Search Results"""
"SYSTEM","""Your reservation has been made."""
"USER","""Thank you, could you find me some attractions in that area too?"""
"SYSTEM","APICall(method='FindAttractions', parameters={ location: Paris })"
"Tool","""Search Results\n[{ attraction_name: American Church in Paris, category: Place of Worship, free_entry: True, good_for_kids: True, location: Paris, phone_number: 1 40 62 05 00 }, { attraction_name: Arab World Institute, category: Performing Arts Venue, free_entry: False, good_for_kids: False, location: Paris, phone_number: 1 40 51 38 38 }]\nEnd Search Results"""
"SYSTEM","""Sure, how about a Place of Worship called American Church in Paris?"""
"USER","""Sounds good."""
"SYSTEM","""Could I further assist you then?"""
"USER","""No, thank you for your kind assistance."""
"SYSTEM","""Have a great time there."""
