"Speaker","Utterance"
"dialogue_id:"," 127_00032"
"USER","""What time is the movie playing?"""
"SYSTEM","""What movie do you want to see and when and where do you want to see it?"""
"USER","""Hellboy is the movie I want to see and I want to see if in Santa Rosa on the 4th of this month."""
"SYSTEM","APICall(method='GetTimesForMovie', parameters={ location: Santa Rosa, movie_name: Hellboy, show_date: 2019-03-04 })"
"Tool","""Search Results\n[{ genre: Fantasy, location: Santa Rosa, movie_name: Hellboy, price: 17, show_date: 2019-03-04, show_time: 20:30, show_type: regular, street_address: 620 3rd Street, theater_name: 3rd Street Cinema }]\nEnd Search Results"""
"SYSTEM","""It is playing at 8:30 pm in 3rd Street Cinema."""
"USER","""What is their location?"""
"SYSTEM","""They are located at 620 3rd Street?"""
"USER","""How much money does a ticket cost?"""
"SYSTEM","""The cost is $17 a person."""
"USER","""That is great. I need a Regular cab for 2 people to get there."""
"SYSTEM","""You want a Regular cab for 2 people and your destination is 620 3rd Street. Is that right?"""
"USER","""No, I want a Luxury cab for 1 person."""
"SYSTEM","""You want a Luxury cab for 1 person. Is that right?"""
"USER","""That is right. Can you tell me the price?"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: 620 3rd Street, number_of_seats: 1, ride_type: Luxury })"
"Tool","""Search Results\n[{ destination: 620 3rd Street, number_of_seats: 1, ride_fare: 23.37, ride_type: Luxury, wait_time: 9 }]\nEnd Search Results"""
"SYSTEM","""Your ride is confirmed and is coming to get you now. The price is $23.37."""
"USER","""How many minutes will it take for it to arrive here?"""
"SYSTEM","""It will arrive in 9 minutes."""
"USER","""Thanks a bunch."""
"SYSTEM","""Do you need something more?"""
"USER","""No, that is all. Thanks."""
"SYSTEM","""Have a great day."""
