"Speaker","Utterance"
"dialogue_id:"," 104_00016"
"USER","""I want to do something."""
"SYSTEM","""What do you want?"""
"USER","""I want Sports something in Seattle, WA on the 10th."""
"SYSTEM","APICall(method='FindEvents', parameters={ city: Seattle, date: 2019-03-10, event_type: Sports })"
"Tool","""Search Results\n[{ category: Basketball, city: Seattle, date: 2019-03-10, event_name: Huskies Vs Cougars, event_type: Sports, time: 18:00, venue: Husky Stadium, venue_address: 3800 Montlake Boulevard Northeast }, { category: Baseball, city: Seattle, date: 2019-03-10, event_name: Mariners Vs Rays, event_type: Sports, time: 18:00, venue: T-Mobile Park, venue_address: 1250 1st Avenue South }]\nEnd Search Results"""
"SYSTEM","""I found Huskies Vs Cougars at Husky Stadium."""
"USER","""Which category is this and when this event will start?"""
"SYSTEM","""It will start 6 pm and it's a basketball event."""
"USER","""That's great."""
"SYSTEM","""Will I buy you tickets?"""
"USER","""Maybe later."""
"SYSTEM","""Do you still need any other help?"""
"USER","""I want to book a three star hotel with wifi."""
"SYSTEM","APICall(method='SearchHotel', parameters={ destination: Seattle, has_wifi: True, star_rating: 3 })"
"Tool","""Search Results\n[{ destination: Seattle, has_wifi: True, hotel_name: Best Western Plus Pioneer Square Hotel Downtown, number_of_rooms: 3, phone_number: +1 206-340-1234, price_per_night: 234, star_rating: 3, street_address: 77 Yesler Way }, { destination: Seattle, has_wifi: True, hotel_name: Courtyard By Marriott Seattle Downtown/Lake Union, number_of_rooms: 3, phone_number: +1 206-213-0100, price_per_night: 324, star_rating: 3, street_address: 925 Westlake Avenue North }]\nEnd Search Results"""
"SYSTEM","""I found Best Western Plus Pioneer Square Hotel Downtown and it's 3 star hotel."""
"USER","""That's good. Please book a three tickets for me in the event."""
"SYSTEM","""Okay, you want 3 tickets for Huskies Vs Cougars on March 10th at Seattle. Please confirm."""
"USER","""That's good."""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city: Seattle, date: 2019-03-10, event_name: Huskies Vs Cougars, number_of_tickets: 3 })"
"Tool","""Search Results\n[{ city: Seattle, date: 2019-03-10, event_name: Huskies Vs Cougars, number_of_tickets: 3, time: 18:00, venue: Husky Stadium, venue_address: 3800 Montlake Boulevard Northeast }]\nEnd Search Results"""
"SYSTEM","""Reservation done. Enjoy!"""
"USER","""Where is the venue?"""
"SYSTEM","""It's at 3800 Montlake Boulevard Northeast."""
"USER","""Thank you."""
"SYSTEM","""Do you still need any other help?"""
"USER","""No, thanks."""
"SYSTEM","""Enjoy your day."""
