"Speaker","Utterance"
"dialogue_id:"," 68_00101"
"USER","""Can you find attractions for me?"""
"SYSTEM","""Where would you like me to look?"""
"USER","""Look in SFO."""
"SYSTEM","APICall(method='FindAttractions', parameters={ location: San Francisco })"
"Tool","""Search Results\n[{ attraction_name: Alcatraz, category: Historical Landmark, free_entry: False, good_for_kids: False, location: San Francisco, phone_number: 415-561-4900 }, { attraction_name: Alcatraz Island, category: Historical Landmark, free_entry: False, good_for_kids: True, location: San Francisco, phone_number: 415-561-4900 }]\nEnd Search Results"""
"SYSTEM","""What about the historical landmark Alcatraz?"""
"USER","""That's okay. Are there any other attractions around there? What about a park without an entry fee?"""
"SYSTEM","APICall(method='FindAttractions', parameters={ category: Park, free_entry: True, location: San Francisco })"
"Tool","""Search Results\n[{ attraction_name: Fort Funston, category: Park, free_entry: True, good_for_kids: True, location: San Francisco, phone_number: 415-561-4700 }, { attraction_name: Golden Gate Park, category: Park, free_entry: True, good_for_kids: True, location: San Francisco, phone_number: 415-831-2700 }]\nEnd Search Results"""
"SYSTEM","""Fort Funston is a Park in that area."""
"USER","""Cool. I'd like to see a Drama movie around there as well."""
"SYSTEM","APICall(method='FindMovies', parameters={ genre: Drama, location: San Francisco })"
"Tool","""Search Results\n[{ genre: Drama, location: San Francisco, movie_name: Dogman, price: 18, show_type: 3d, street_address: 601 Van Ness Avenue, theater_name: Landmark's Opera Plaza Cinema }, { genre: Drama, location: San Francisco, movie_name: Ramen Shop, price: 19, show_type: regular, street_address: 2221, theater_name: Landmark's Clay Theatre }]\nEnd Search Results"""
"SYSTEM","""What about Dogman, Ramen Shop, or Red Joan?"""
"USER","""Can you look for other movies?"""
"SYSTEM","""What about Supa Modo, The Innocent of The Mustang?"""
"USER","""Innocent sounds great."""
"SYSTEM","""Would you like to go ahead and purchase tickets?"""
"USER","""No, not right now."""
"SYSTEM","""Can I assist you with anything else?"""
"USER","""I'd like to watch a movie streaming online."""
"SYSTEM","""What kind of movies would you like to see?"""
"USER","""What about a scary movie?"""
"SYSTEM","APICall(method='FindMovies', parameters={ genre: Horror })"
"Tool","""Search Results\n[{ directed_by: Michael Chaves, genre: Horror, subtitles: True, title: The Curse of La Llorona }]\nEnd Search Results"""
"SYSTEM","""I found 1, how about The Curse of La Llorona?"""
"USER","""The Curse of La Llorona sounds great, go ahead and play now."""
"SYSTEM","""Please confirm: play The Curse of La Llorona without subtitles."""
"USER","""Yes, thanks. Can you tell me the director?"""
"SYSTEM","APICall(method='PlayMovie', parameters={ subtitles: False, title: The Curse of La Llorona })"
"Tool","""Search Results\n[{ directed_by: Michael Chaves, genre: Horror, subtitles: False, title: The Curse of La Llorona }]\nEnd Search Results"""
"SYSTEM","""Started the movie. It's director is Michael Chaves."""
"USER","""Thank you."""
"SYSTEM","""Is there anything else I can help with?"""
"USER","""No, thank you."""
"SYSTEM","""Enjoy!"""
