"Speaker","Utterance"
"dialogue_id:"," 124_00093"
"USER","""What events do I have on my calendar?"""
"SYSTEM","""For which dates?"""
"USER","""For the 11th of this month."""
"SYSTEM","APICall(method='GetEvents', parameters={ event_date: 2019-03-11 })"
"Tool","""Search Results\n[{ event_date: 2019-03-11, event_location: 216 Northgate One, event_name: Hairdresser appointment, event_time: 16:30 }]\nEnd Search Results"""
"SYSTEM","""You have a Hairdresser appointment at 4:30 pm."""
"USER","""Great. Can I book a cab there?"""
"SYSTEM","""For how many people?"""
"USER","""Just one please."""
"SYSTEM","""You will be going to 216 Northgate One, is that correct? What type of ride would you like: Luxury, Regular, or something else?"""
"USER","""That sounds great. I would like a Pool ride."""
"SYSTEM","""You want a Pool ride for 1 to 216 Northgate One, is that correct?"""
"USER","""Yes, that right. What is the total cost?"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: 216 Northgate One, number_of_seats: 1, ride_type: Pool })"
"Tool","""Search Results\n[{ destination: 216 Northgate One, number_of_seats: 1, ride_fare: 13.53, ride_type: Pool, wait_time: 6 }]\nEnd Search Results"""
"SYSTEM","""The cab ride will cost $13.53. It should arrive shortly."""
"USER","""How long should I expect to wait?"""
"SYSTEM","""The cab should be there in 6 minutes."""
"USER","""That's everything. Thanks for all your help."""
"SYSTEM","""My pleasure. Have a lovely day."""
