"Speaker","Utterance"
"dialogue_id:"," 84_00061"
"USER","""Hi! Can you help me find some popular attractions in the area?"""
"SYSTEM","""I'd be happy to. Where should I look?"""
"USER","""I'd like to find things in the area of San Fran."""
"SYSTEM","APICall(method='FindAttractions', parameters={ location: San Francisco })"
"Tool","""Search Results\n[{ attraction_name: Alcatraz, category: Historical Landmark, free_entry: False, good_for_kids: False, location: San Francisco, phone_number: 415-561-4900 }, { attraction_name: Alcatraz Island, category: Historical Landmark, free_entry: False, good_for_kids: True, location: San Francisco, phone_number: 415-561-4900 }]\nEnd Search Results"""
"SYSTEM","""There are 10 things that may interest you. Alcatraz is a very popular Historical Landmark."""
"USER","""That sounds wild. What else is around?"""
"SYSTEM","""If you have a specific type of event in mind, you can narrow the search by saying Music, Sports, or anything else you might like."""
"USER","""I'd like to find a Concert on the 9th."""
"SYSTEM","APICall(method='FindEvents', parameters={ city: San Francisco, date: 2019-03-09, event_type: Music })"
"Tool","""Search Results\n[{ category: Hip Hop, city: San Francisco, date: 2019-03-09, event_name: Allan Rayman, event_type: Music, time: 19:30, venue: August Hall, venue_address: 420 Mason Street }, { category: Classical, city: San Francisco, date: 2019-03-09, event_name: Carmina Burana, event_type: Music, time: 17:30, venue: San Francisco Symphony, venue_address: 201 Van Ness Avenue }]\nEnd Search Results"""
"SYSTEM","""Allan Rayman will be performing at August Hall."""
"USER","""I'd love to see that."""
"SYSTEM","""Would you like to purchase your tickets now?"""
"USER","""Not at this time. I need to find a rental house in the area first."""
"SYSTEM","APICall(method='SearchHouse', parameters={ where_to: San Francisco })"
"Tool","""Search Results\n[{ address: 1095 Market Street, has_laundry_service: True, number_of_adults: 2, phone_number: +1 415-829-0000, rating: 3.70, total_price: 132, where_to: San Francisco }, { address: 1100 Market Street Hotel Entrance is at, 45 McAllister Street, has_laundry_service: True, number_of_adults: 2, phone_number: +1 415-735-7777, rating: 4.40, total_price: 696, where_to: San Francisco }]\nEnd Search Results"""
"SYSTEM","""There is one located at 1095 Market Street with a 3.7 rating."""
"USER","""Do you have the phone number for the house?"""
"SYSTEM","""Yes, it is +1 415-829-0000."""
"USER","""Can you see if there is a house with a minimum of a 4.0 rating. There will be two of us staying."""
"SYSTEM","APICall(method='SearchHouse', parameters={ number_of_adults: 2, rating: 4.00, where_to: San Francisco })"
"Tool","""Search Results\n[{ address: 1100 Market Street Hotel Entrance is at, 45 McAllister Street, has_laundry_service: True, number_of_adults: 2, phone_number: +1 415-735-7777, rating: 4.00, total_price: 696, where_to: San Francisco }, { address: 12 4th Street, has_laundry_service: True, number_of_adults: 2, phone_number: +1 415-348-1111, rating: 4.00, total_price: 312, where_to: San Francisco }]\nEnd Search Results"""
"SYSTEM","""There is an available house at 1100 Market Street Hotel Entrance is at 45 McAllister Street with an average rating of 4.0."""
"USER","""Do the offer laundry service?"""
"SYSTEM","""They do have laundry service."""
"USER","""This is great!"""
"SYSTEM","""Would you like to reserve it now?"""
"USER","""No, I have to check with my friend first. Can you find me one bus ticket in Economy extra from Sacramento, CA."""
"SYSTEM","""Will you be leaving on March 9th?"""
"USER","""No, I will be leaving Tuesday next week."""
"SYSTEM","APICall(method='FindBus', parameters={ departure_date: 2019-03-05, destination: San Francisco, fare_type: Economy extra, group_size: 1, origin: Sacramento })"
"Tool","""Search Results\n[{ departure_date: 2019-03-05, departure_time: 07:40, destination: San Francisco, destination_station_name: Salesforce Transit Center, fare_type: Economy extra, group_size: 1, origin: Sacramento, origin_station_name: Sacramento Valley Station, price: 35 }, { departure_date: 2019-03-05, departure_time: 08:30, destination: San Francisco, destination_station_name: Salesforce Transit Center, fare_type: Economy extra, group_size: 1, origin: Sacramento, origin_station_name: Sacramento Valley Station, price: 31 }]\nEnd Search Results"""
"SYSTEM","""There are Economy extra tickets available for $35 on the 7:40 am bus."""
"USER","""That will work."""
"SYSTEM","""Would you like to purchase your ticket."""
"USER","""Not right now."""
"SYSTEM","""Is there something else I can do for you?"""
"USER","""No, that will be all. Thank you for the assistance."""
"SYSTEM","""You're welcome. Enjoy the rest of your day!"""
