"Speaker","Utterance"
"dialogue_id:"," 20_00016"
"USER","""Help get me some attractions please."""
"SYSTEM","""Sure where should they be?"""
"USER","""Find something in London, england."""
"SYSTEM","APICall(method='FindAttractions', parameters={ location: London })"
"Tool","""Search Results\n[{ attraction_name: 30 St Mary Axe (The Gherkin), category: Historical Landmark, free_entry: True, good_for_kids: True, location: London, phone_number: 20 7071 5029 }, { attraction_name: Alexandra Palace, category: Performing Arts Venue, free_entry: False, good_for_kids: True, location: London, phone_number: 20 8365 2121 }]\nEnd Search Results"""
"SYSTEM","""What about 30 St Mary Axe (The Gherkin). It is listed as a Historical Landmark."""
"USER","""Fine, get a hotel for me."""
"SYSTEM","APICall(method='SearchHotel', parameters={ destination: London })"
"Tool","""Search Results\n[{ destination: London, has_wifi: False, hotel_name: 45 Park Lane, number_of_rooms: 2, phone_number: +44 20 7493 4545, price_per_night: 230, star_rating: 5, street_address: 45 Park Lane }, { destination: London, has_wifi: False, hotel_name: Abc Hyde Park Hotel, number_of_rooms: 2, phone_number: +44 20 7706 4660, price_per_night: 186, star_rating: 3, street_address: 121 Sussex Gardens }]\nEnd Search Results"""
"SYSTEM","""There are 10 options, a 5 star option is 45 Park Lane"""
"USER","""Fine, what about round trip tickets there from Atlanta? I need 3."""
"SYSTEM","""Which day will you fly back home?"""
"USER","""I'll return March 11th."""
"SYSTEM","""What date do you want to leave?"""
"USER","""Tomorrow, I think."""
"SYSTEM","APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-02, destination_city: London, origin_city: Atlanta, passengers: 3, return_date: 2019-03-11 })"
"Tool","""Search Results\n[{ airlines: American Airlines, arrives_next_day: True, departure_date: 2019-03-02, destination_airport_name: Heathrow International Airport, destination_city: London, flight_class: Economy, inbound_arrival_time: 16:29, inbound_departure_time: 10:25, number_checked_bags: 0, number_stops: 0, origin_airport_name: Hartsfield-Jackson International Airport, origin_city: Atlanta, outbound_arrival_time: 08:34, outbound_departure_time: 18:30, passengers: 3, price: 447, return_date: 2019-03-11 }, { airlines: United Airlines, arrives_next_day: False, departure_date: 2019-03-02, destination_airport_name: Heathrow International Airport, destination_city: London, flight_class: Economy, inbound_arrival_time: 19:41, inbound_departure_time: 09:30, number_checked_bags: 0, number_stops: 1, origin_airport_name: Hartsfield-Jackson International Airport, origin_city: Atlanta, outbound_arrival_time: 21:07, outbound_departure_time: 06:05, passengers: 3, price: 675, return_date: 2019-03-11 }]\nEnd Search Results"""
"SYSTEM","""Well, there is an American Airlines at 6:30 pm and it will board the return at 10:25 am. It will cost $447."""
"USER","""What else. I have zero bags."""
"SYSTEM","APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-02, destination_city: London, number_checked_bags: 0, origin_city: Atlanta, passengers: 3, return_date: 2019-03-11 })"
"Tool","""Search Results\n[{ airlines: American Airlines, arrives_next_day: True, departure_date: 2019-03-02, destination_airport_name: Heathrow International Airport, destination_city: London, flight_class: Economy, inbound_arrival_time: 16:29, inbound_departure_time: 10:25, number_checked_bags: 0, number_stops: 0, origin_airport_name: Hartsfield-Jackson International Airport, origin_city: Atlanta, outbound_arrival_time: 08:34, outbound_departure_time: 18:30, passengers: 3, price: 447, return_date: 2019-03-11 }, { airlines: United Airlines, arrives_next_day: False, departure_date: 2019-03-02, destination_airport_name: Heathrow International Airport, destination_city: London, flight_class: Economy, inbound_arrival_time: 19:41, inbound_departure_time: 09:30, number_checked_bags: 0, number_stops: 1, origin_airport_name: Hartsfield-Jackson International Airport, origin_city: Atlanta, outbound_arrival_time: 21:07, outbound_departure_time: 06:05, passengers: 3, price: 675, return_date: 2019-03-11 }]\nEnd Search Results"""
"SYSTEM","""What about United Airlines flight? It leaves at 6:05 am and will take of on return at 9:30 am. It's $675."""
"USER","""Fine, that's enough."""
"SYSTEM","""Safe travels to you."""
