"Speaker","Utterance"
"dialogue_id:"," 48_00075"
"USER","""I'd like to check the weather forecast for March 6th in Phoenix, AZ."""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Phoenix, date: 2019-03-06 })"
"Tool","""Search Results\n[{ city: Phoenix, date: 2019-03-06, humidity: 43, precipitation: 29, temperature: 88, wind: 3 }]\nEnd Search Results"""
"SYSTEM","""It is predicted to be 88 degrees Fahrenheit and there is a 29 percent chance of rain."""
"USER","""Can you tell me what the humidity and wind will be?"""
"SYSTEM","""Humidity is projected to be 43 percent with an average wind speed of 3 miles per hour."""
"USER","""Great. I need a round trip flight there."""
"SYSTEM","""When do you expect to return?"""
"USER","""I will need to be back on Friday next week."""
"SYSTEM","""Where are you departing from? Will you be starting your travels on March 6th?"""
"USER","""Yes, I will be leaving CDMX."""
"SYSTEM","APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-06, destination_city: Phoenix, origin_city: Mexico City, return_date: 2019-03-08 })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-06, destination_airport: Sky Harbor International Airport, destination_city: Phoenix, inbound_arrival_time: 20:05, inbound_departure_time: 07:35, number_stops: 1, origin_airport: Benito Juarez International Airport, origin_city: Mexico City, outbound_arrival_time: 13:38, outbound_departure_time: 08:05, passengers: 1, price: 250, refundable: False, return_date: 2019-03-08, seating_class: Economy }, { airlines: United Airlines, departure_date: 2019-03-06, destination_airport: Sky Harbor International Airport, destination_city: Phoenix, inbound_arrival_time: 19:08, inbound_departure_time: 11:05, number_stops: 1, origin_airport: Benito Juarez International Airport, origin_city: Mexico City, outbound_arrival_time: 01:18, outbound_departure_time: 20:45, passengers: 1, price: 266, refundable: False, return_date: 2019-03-08, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""There are 2 flights that match your criteria. I have found an American Airlines flight for $250 that leaves at 8:05 am and returns at 7:35 am."""
"USER","""That will work for me. Can you help me find a house to stay at?"""
"SYSTEM","APICall(method='SearchHouse', parameters={ where_to: Phoenix })"
"Tool","""Search Results\n[{ address: 10 East Thomas Road, has_laundry_service: True, number_of_adults: 2, phone_number: +1 602-222-1111, rating: 4.60, total_price: 1218, where_to: Phoenix }, { address: 10210 North 26th Drive, has_laundry_service: False, number_of_adults: 2, phone_number: +1 602-861-3900, rating: 3.80, total_price: 432, where_to: Phoenix }]\nEnd Search Results"""
"SYSTEM","""I have one available at 10 East Thomas Road that has a solid 4.6 rating."""
"USER","""Perfect. Thank you."""
"SYSTEM","""You're welcome. Have a wonderful day."""
