"Speaker","Utterance"
"dialogue_id:"," 64_00073"
"USER","""Play fresh eyes for me"""
"SYSTEM","""Playing fresh eyes on TV"""
"USER","""Cool, that works for me"""
"SYSTEM","APICall(method='PlaySong', parameters={ playback_device: TV, song_name: Fresh Eyes })"
"Tool","""Search Results\n[{ album: The Good Parts, artist: Andy Grammer, genre: Pop, playback_device: TV, song_name: Fresh Eyes, year: 2016 }]\nEnd Search Results"""
"SYSTEM","""playing music now. Enjoy"""
"USER","""Thanks. I also need to send a transfer to Bob"""
"SYSTEM","""Which account should I make the transfer from?"""
"USER","""Transfer 1770 bucks from my checking account"""
"SYSTEM","""Transferring $1770 from your checking accounts to bob checking account"""
"USER","""Yes, that is correct"""
"SYSTEM","APICall(method='TransferMoney', parameters={ account_type: checking, amount: 1770, recipient_account_name: Bob, recipient_account_type: checking })"
"Tool","""Search Results\n[{ account_type: checking, amount: 1770, recipient_account_name: Bob, recipient_account_type: checking }]\nEnd Search Results"""
"SYSTEM","""The transfer has been successfully completed"""
"USER","""Thanks. Show me funny movies to watch online like ones directed by Laura Steinel."""
"SYSTEM","APICall(method='FindMovies', parameters={ directed_by: Laura Steinel, genre: Comedy })"
"Tool","""Search Results\n[{ directed_by: Laura Steinel, genre: Comedy, subtitles: True, title: Family }]\nEnd Search Results"""
"SYSTEM","""How about Family?"""
"USER","""Family works for me. That would be all"""
"SYSTEM","""have a fantastic day ahead!"""
