"Speaker","Utterance"
"dialogue_id:"," 9_00071"
"USER","""I want to watch some nice movies and I like the one which is particularly directed by Peter Farrelly."""
"SYSTEM","APICall(method='FindMovies', parameters={ director: Peter Farrelly })"
"Tool","""Search Results\n[{ aggregate_rating: 8.30, director: Peter Farrelly, genre: Comedy, starring: Mahershala Ali, title: Green Book }]\nEnd Search Results"""
"SYSTEM","""What do you think about a movie like Green Book which hate the average rating of 8.3? Do you think this will match your interest?"""
"USER","""I have to decide and I need some more details of this movie. Under which genre this movie will come?"""
"SYSTEM","""This is Comedy type movie and this is the best one in this genre."""
"USER","""What about the cast of this film, major role is done by whom?"""
"SYSTEM","""Mahershala Ali is the main cast of this film. Do you like it?"""
"USER","""Yes, this is my favorite. Thanks. And one more thing, that is I want to find some interesting events on that day. Can you search for the nice one?"""
"SYSTEM","""Yes, Let me know your desired City to search for the events?"""
"USER","""Search it in Philly."""
"SYSTEM","""Any favorite kind of events you are looking for like the one in Music, Sports or any other type?"""
"USER","""Search for the one belongs to Sports type."""
"SYSTEM","APICall(method='FindEvents', parameters={ category: Sports, city_of_event: Philadelphia })"
"Tool","""Search Results\n[{ address_of_location: 1 Lincoln Financial Field Way, category: Sports, city_of_event: Philadelphia, date: 2019-03-14, event_location: Lincoln Financial Field, event_name: Eagles Vs Cowboys, subcategory: American Football, time: 20:00 }, { address_of_location: 1 Lincoln Financial Field Way, category: Sports, city_of_event: Philadelphia, date: 2019-03-03, event_location: Lincoln Financial Field, event_name: Owls Vs Bison, subcategory: American Football, time: 19:30 }]\nEnd Search Results"""
"SYSTEM","""What about an event like Eagles Vs Cowboys which will be held at Lincoln Financial Field on March 14th at 8 pm?"""
"USER","""Check about the address of the place where this event will take place?"""
"SYSTEM","""This will be held at 1 Lincoln Financial Field Way."""
"USER","""It is okay. Thanks."""
"SYSTEM","""Shall I book the tickets to this event now?"""
"USER","""No, not now. Will be later."""
"SYSTEM","""Anything else you want?"""
"USER","""Nothing for now. Thanks."""
"SYSTEM","""Have a good day."""
