"Speaker","Utterance"
"dialogue_id:"," 109_00001"
"USER","""I am looking for salons to go to. Preferably a unisex salon. What kind of options do I have?"""
"SYSTEM","""Where would you like me to look?"""
"USER","""Livermore would be most convenient for me."""
"SYSTEM","APICall(method='FindProvider', parameters={ city: Livermore, is_unisex: True })"
"Tool","""Search Results\n[{ average_rating: 4.30, city: Livermore, is_unisex: True, phone_number: 925-454-0292, street_address: 1416 First Street, stylist_name: Great Clips }, { average_rating: 4.70, city: Livermore, is_unisex: True, phone_number: 925-292-5328, street_address: 2027 Third Street, stylist_name: Livermore Barber Shop Third Street Og }]\nEnd Search Results"""
"SYSTEM","""I was able to find a Great Clips in Livermore. Is that going to work?"""
"USER","""Yeah, that should be fine. Can we go ahead and make an appointment with them?"""
"SYSTEM","""What timeframe were you thinking of booking one?"""
"USER","""Probably something, say, evening 4."""
"SYSTEM","""Okay. What date would work out best for you?"""
"USER","""I was thinking of going on the 10th of this month. Does that work?"""
"SYSTEM","""Just to confirm, you want me to book an appointment for you at Great Clips on March 10th at 4 pm. Does this all sound correct?"""
"USER","""Yes, that will work out just fine. What kind of rating does this place have?"""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-10, appointment_time: 16:00, stylist_name: Great Clips })"
"Tool","""Search Results\n[{ appointment_date: 2019-03-10, appointment_time: 16:00, average_rating: 4.10, is_unisex: True, phone_number: 925-254-7474, street_address: 1 Camino Sobrante Ste 5, stylist_name: Great Clips }]\nEnd Search Results"""
"SYSTEM","""It looks like they have an average rating of 4.1. Your appointment has been successfully booked!"""
"USER","""Cool, thanks a lot. I'm going to need to secure a ride to 1416 First Street. Just a regular ride would be fine."""
"SYSTEM","""Okay. How many seats would you like to reserve?"""
"USER","""Just one, seeing as it's only me."""
"SYSTEM","""Okay. Just to confirm, you want 1 seat with a regular ride. Your destination is 1416 First street. Is this correct."""
"USER","""Yeah, that will work just fine. Is it going to come soon? Also, how much is it going to cost me?"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: 1416 First Street, number_of_seats: 1, ride_type: Regular })"
"Tool","""Search Results\n[{ destination: 1416 First Street, number_of_seats: 1, ride_fare: 20.34, ride_type: Regular, wait_time: 6 }]\nEnd Search Results"""
"SYSTEM","""The total comes out to $20.34. I was able to confirm the ride and it should be arriving in about 6 minutes."""
"USER","""Great. Thanks a lot. I appreciate your help."""
"SYSTEM","""No problem. Is there anything else I can do for you?"""
"USER","""No, that should be it for now. Thank you."""
"SYSTEM","""Excellent. Enjoy the rest of your day!"""
