"Speaker","Utterance"
"dialogue_id:"," 119_00111"
"USER","""I will be making a trip soon. I need to find a rental car."""
"SYSTEM","""Where and when do you need it?"""
"USER","""I want to pick it up at Sacramento, CA on the 8th of March."""
"SYSTEM","""At what time do you want to pick it up? For how long do you want to rent it?"""
"USER","""I want to pick it up at 8 in the night and I need it until the 10th."""
"SYSTEM","APICall(method='GetCarsAvailable', parameters={ dropoff_date: 2019-03-10, pickup_city: Sacramento, pickup_date: 2019-03-08, pickup_time: 20:00 })"
"Tool","""Search Results\n[{ car_name: Accord, dropoff_date: 2019-03-10, pickup_city: Sacramento, pickup_date: 2019-03-08, pickup_location: SMF International Airport, pickup_time: 20:00, total_price: 70, type: Standard }, { car_name: Camry, dropoff_date: 2019-03-10, pickup_city: Sacramento, pickup_date: 2019-03-08, pickup_location: SMF International Airport, pickup_time: 20:00, total_price: 66, type: Standard }]\nEnd Search Results"""
"SYSTEM","""There are 4 available cards. How about an Standard Accord card available for pickup on March 8th at SMF International Airport?"""
"USER","""That sounds good. Please book the car."""
"SYSTEM","""Please confirm: Booking a standard card from March 8th until March 10th with a pick up at SMF International Airport at 8 pm."""
"USER","""That is correct."""
"SYSTEM","APICall(method='ReserveCar', parameters={ dropoff_date: 2019-03-10, pickup_date: 2019-03-08, pickup_location: SMF International Airport, pickup_time: 20:00, type: Standard })"
"Tool","""Search Results\n[{ car_name: Accord, dropoff_date: 2019-03-10, pickup_date: 2019-03-08, pickup_location: SMF International Airport, pickup_time: 20:00, total_price: 70, type: Standard }]\nEnd Search Results"""
"SYSTEM","""The car has been booked."""
"USER","""What interesting to do or see are there?"""
"SYSTEM","APICall(method='FindAttractions', parameters={ location: Sacramento })"
"Tool","""Search Results\n[{ attraction_name: California Automobile Museum, category: Museum, free_entry: False, good_for_kids: False, location: Sacramento, phone_number: 916-442-6802 }, { attraction_name: California Museum, category: Museum, free_entry: False, good_for_kids: True, location: Sacramento, phone_number: (916) 653-1771 }]\nEnd Search Results"""
"SYSTEM","""There are 8 possible attractions. There is a Museum called California Automobile Museum"""
"USER","""Not that interested. What other attractions are there? Is there any Nature preserve?"""
"SYSTEM","APICall(method='FindAttractions', parameters={ category: Nature Preserve, location: Sacramento })"
"Tool","""Search Results\n[{ attraction_name: Sacramento Zoo, category: Nature Preserve, free_entry: False, good_for_kids: False, location: Sacramento, phone_number: 916-808-5888 }, { attraction_name: Sutter's Fort | State Historic Park, category: Nature Preserve, free_entry: True, good_for_kids: True, location: Sacramento, phone_number: 916-445-4422 }]\nEnd Search Results"""
"SYSTEM","""There is the Sacramento Zoo. It is a Nature Preserve."""
"USER","""Sounds good but what other things are there?"""
"SYSTEM","""There is also another Nature Preserve, the Sutter's fort | State Historic Park."""
"USER","""That sounds great."""
"SYSTEM","""Is there anything else I can help you with?"""
"USER","""No, that would be all."""
"SYSTEM","""Have a great day."""
